dataset,n_train,epochs,batch_size,split_index,init_seed,elbo_samples,train_time_s,train_time_min,projected_hours_20_splits,frac_var_below_prior_weights,frac_var_below_prior_all,n_variational_weights,n_variational_params,test_rmse,test_ll,timestamp,git_commit
concrete,927,1000,128,0,0,1,17.988374199951068,0.2998062366658511,0.09993541222195038,1.0,1.0,450,501,6.066333789694982,-3.6407914655441753,2026-08-28T16:28:32.976059+00:00,1806733
concrete,927,1000,128,0,0,8,57.53801760007627,0.9589669600012712,0.31965565333375706,0.8866666666666667,0.8403193612774451,450,501,5.825200451032188,-3.3303503042267018,2026-08-28T16:29:30.560164+00:00,1806733
concrete,927,1000,128,0,0,16,103.3486182000488,1.7224769700008133,0.5741589900002712,0.9222222222222223,0.874251497005988,450,501,5.973287497211677,-3.33313462784949,2026-08-28T16:31:13.948638+00:00,1806733
concrete,927,1000,128,0,0,32,196.58980840002187,3.2764968066670312,1.0921656022223436,0.8422222222222222,0.7844311377245509,450,501,5.497952848423569,-3.153926794365388,2026-08-28T16:34:30.578376+00:00,1806733
power_plant,8611,50,128,0,0,1,7.61911499989219,0.1269852499982031,0.0423284166660677,1.0,1.0,250,301,4.396967061564423,-2.902928292975904,2026-08-28T16:25:05.517012+00:00,1806733
power_plant,8611,50,128,0,0,8,24.52195189986378,0.408699198331063,0.1362330661103543,0.996,0.9933554817275748,250,301,4.421870478120981,-2.9054369165026164,2026-08-28T16:25:30.088868+00:00,1806733
power_plant,8611,50,128,0,0,16,44.04495540005155,0.7340825900008592,0.244694196666953,0.972,0.9667774086378738,250,301,4.410477186536952,-2.901922814223795,2026-08-28T16:26:14.186446+00:00,1806733
power_plant,8611,50,128,0,0,32,83.71181079978123,1.3951968466630205,0.4650656155543402,0.968,0.9634551495016612,250,301,4.422455704073744,-2.9049158244124964,2026-08-28T16:27:37.951920+00:00,1806733
yacht,277,2000,128,0,0,1,15.72989650000818,0.262164941666803,0.0873883138889343,1.0,1.0,350,401,0.7595469824943106,-1.328121755433233,2026-08-28T16:20:11.844128+00:00,1806733
yacht,277,2000,128,0,0,8,48.88079269998707,0.8146798783331178,0.2715599594443726,0.9942857142857144,0.970074812967581,350,401,0.8080073721908958,-1.0838728622584366,2026-08-28T16:21:00.778623+00:00,1806733
yacht,277,2000,128,0,0,16,86.64132619998418,1.4440221033330696,0.4813407011110232,0.9685714285714284,0.9476309226932668,350,401,1.017297749747486,-1.2787797908654304,2026-08-28T16:22:27.468149+00:00,1806733
yacht,277,2000,128,0,0,32,150.31994229997508,2.5053323716662512,0.8351107905554171,0.8657142857142858,0.8129675810473815,350,401,1.0093937131576474,-1.5751238777714458,2026-08-28T16:24:57.834374+00:00,1806733
