dataset,protocol,epochs,elbo_samples,seed,n_fit,init_sigma,prior_sigma_min,prior_sigma_max,frac_var_below_prior_weights,frac_var_below_prior_all,frac_sigma_below_1pct_prior_weights,frac_sigma_below_1pct_prior_all,n_variational_weights,n_variational_params,frac_sigma_above_init_weights,std_epi_median,std_epi_min,std_epi_max,mean_var_aleatoric,data_term_sum_nll,kl_term,kl_over_data,sigma_w_q0,sigma_all_q0,sigma_w_q25,sigma_all_q25,sigma_w_q50,sigma_all_q50,sigma_w_q75,sigma_all_q75,sigma_w_q100,sigma_all_q100,timestamp,git_commit,sigma_w_mean
concrete,E2 (UCI),1000,32,0,927,0.048587351573742,1.0,1.0,0.8422222222222222,0.7844311377245509,0.0155555555555555,0.0139720558882235,450,501,0.5333333333333333,0.1063161910594079,0.0825663956693785,0.1614537628181016,0.0668677963275354,-800.8477241030087,11.30187976898969,0.014112395439031,0.0036616512829406,0.0036616512829406,0.0294980591454836,0.0320002192854485,0.0512174451770122,0.0550748931211837,0.0774562980008589,0.0873675402841139,0.5784342896462841,0.691368773459206,2026-08-28T17:11:31.156690+00:00,1806733,
sin_homo,E1 (synthetic),2000,32,0,250,0.048587351573742,1.0,1.0,1.0,0.9403973509933776,0.0,0.0,100,151,0.26,0.0895273262257364,0.0641257716779965,0.1274044033126033,0.01,-356.28276969327976,11.463583947928637,0.0321755215886457,0.010878317392131,0.010878317392131,0.0273063597104663,0.0319932406508842,0.0369106824755307,0.0456629085381219,0.0492137440575583,0.0583577691597509,0.0993627262808206,0.1726981566485355,2026-08-28T17:11:31.156690+00:00,1806733,
sin_homo,"E1 (synthetic, sigma_o learned)",2000,1,0,250,0.048587351573742055,1.0,1.0,1.0,1.0,0.57,0.4304635761589404,100,151,0.0,0.020758034018592882,0.017210946785280568,0.02946874733466102,0.011052545108618224,-445.29824504645,16.772402587793646,0.0376655483698214,0.0006521862954781027,0.0006521862954781027,0.0048481320273360915,0.005935475131739771,0.008886599888847907,0.010647606872759759,0.01187196162539185,0.019440213904252893,0.021963448600385994,0.05694614717160748,2026-08-28T17:25:29.548319+00:00,1806733,0.009098086905949286
sin_homo,"E1 (synthetic, sigma_o learned)",2000,1,1,250,0.048587351573742055,1.0,1.0,1.0,1.0,0.51,0.423841059602649,100,151,0.0,0.022434739394394193,0.017142845891520923,0.03112201544072756,0.012789930393651032,-440.1079578937233,16.946194129622263,0.0385046301155827,0.0010914387768221983,0.0010914387768221983,0.004775252089965547,0.005858126095869941,0.009604037543084795,0.011019085267222771,0.013077986742948824,0.019649692889965945,0.02303869719558761,0.08062282638555748,2026-08-28T17:25:29.548319+00:00,1806733,0.009541154276515694
sin_homo,"E1 (synthetic, sigma_o learned)",2000,1,2,250,0.048587351573742055,1.0,1.0,1.0,1.0,0.56,0.4503311258278146,100,151,0.0,0.02278739880795622,0.017915906626731665,0.029634744025615074,0.01630548138739868,-313.3280809293847,17.111706743638727,0.054612745505868726,0.0010305798923131136,0.0010305798923131136,0.005023167296356877,0.006000806405265468,0.008743968532764702,0.011025878084512969,0.01280127485221764,0.017424638878682855,0.019347510671405176,0.06507021162428982,2026-08-28T17:25:29.548319+00:00,1806733,0.009015642575953149
sin_homo,"E1 (synthetic, sigma_o learned)",2000,8,0,250,0.048587351573742055,1.0,1.0,0.99,0.9072847682119205,0.08,0.059602649006622516,100,151,0.13,0.05823564732681791,0.04627175678528535,0.08461590652498788,0.01410059764773086,-426.65076989830857,12.215684019697122,0.028631576177885972,0.002360029991172264,0.002360029991172264,0.017828688207380046,0.021824876692605976,0.0275670614773684,0.03566275499859841,0.040493276894219,0.06354858014933748,0.1636233890365893,0.3354388124837876,2026-08-28T17:25:29.548319+00:00,1806733,0.03156045306836406
sin_homo,"E1 (synthetic, sigma_o learned)",2000,8,1,250,0.048587351573742055,1.0,1.0,0.97,0.8940397350993378,0.06,0.046357615894039736,100,151,0.12,0.060519223029036145,0.04676848071580476,0.09290272306616046,0.014539326360063573,-416.66309069786064,11.971067625004508,0.02873080887715398,0.003874128751200727,0.003874128751200727,0.019775085264964423,0.022247523305949802,0.02726064552640237,0.03265788785382122,0.03451712894676349,0.06560000968429994,0.1139240941145149,0.41700809542910955,2026-08-28T17:25:29.548319+00:00,1806733,0.03039016667587808
sin_homo,"E1 (synthetic, sigma_o learned)",2000,8,2,250,0.048587351573742055,1.0,1.0,0.99,0.8874172185430463,0.07,0.046357615894039736,100,151,0.14,0.06179707943679186,0.052197709467382454,0.07377122307425749,0.01723386952414491,-394.91277404593825,12.113194713456327,0.03067308912131381,0.003700916375264715,0.003700916375264715,0.016441848429903802,0.0204497133330363,0.02699998692234612,0.03289940414098674,0.03519585152591488,0.06217838212720228,0.182692443031326,0.2093638326009597,2026-08-28T17:25:29.548319+00:00,1806733,0.03111095874186404
sin_homo,"E1 (synthetic, sigma_o learned)",2000,32,0,250,0.048587351573742055,1.0,1.0,0.88,0.6490066225165563,0.01,0.006622516556291391,100,151,0.54,0.12086203273259265,0.0949147402982777,0.1939228132805948,0.02613596598903913,-326.4620365928965,9.64739339720126,0.029551348444326827,0.008077371080556723,0.008077371080556723,0.03450759633699239,0.03986866053167509,0.05007171237671706,0.0716540858720562,0.07322911834677238,0.1241708733919363,0.25843666233749935,0.4693613952274598,2026-08-28T17:25:29.548319+00:00,1806733,0.05968478594056831
sin_homo,"E1 (synthetic, sigma_o learned)",2000,32,1,250,0.048587351573742055,1.0,1.0,0.93,0.7152317880794702,0.02,0.013245033112582781,100,151,0.54,0.14449645810308165,0.13546193350079574,0.2108682261654332,0.035532975630586,-252.95328233210094,9.2323565541014,0.036498267462607155,0.008010281983033933,0.008010281983033933,0.03372814495974425,0.043545642725828476,0.05007651230272989,0.06549909647333403,0.07299855755383372,0.10962392721987152,0.3113123504322669,0.5554404874886515,2026-08-28T17:25:29.548319+00:00,1806733,0.058161369291437434
