experiment_id,dataset,method,split_index,n_train,epochs,train_time_s,predict_time_ms_per_1k,n_parameters,torch_threads,workers,timestamp,git_commit
e2_uci,yacht,mcd,0,277,2000,5.176027800000156,326.5548387008171,402,1,1,2026-08-29T22:05:29.446805+00:00,1806733
e2_uci,energy,mcd,0,691,1000,5.20348709999962,172.47662336475597,502,1,1,2026-08-29T22:05:34.723304+00:00,1806733
e2_uci,concrete,mcd,0,927,1000,7.022846899999422,148.17475727168747,502,1,1,2026-08-29T22:05:41.819184+00:00,1806733
e2_uci,wine_quality_red,mcd,0,1439,20,0.21290579999913462,116.89937500705128,652,1,1,2026-08-29T22:05:42.097999+00:00,1806733
e2_uci,kin8nm,mcd,0,7373,1000,51.255861300000106,78.2179487188988,502,1,1,2026-08-29T22:06:33.497564+00:00,1806733
e2_uci,power_plant,mcd,0,8611,50,2.93583640000179,75.2217345862668,302,1,1,2026-08-29T22:06:36.613040+00:00,1806733
e2_uci,yacht,map,0,277,2000,4.646980400000757,6.248387087966435,402,1,1,2026-08-29T22:06:41.306342+00:00,1806733
e2_uci,energy,map,0,691,1000,4.7904976999998325,2.7545454515773176,502,1,1,2026-08-29T22:06:46.142174+00:00,1806733
e2_uci,concrete,map,0,927,1000,6.326646899999105,2.2718446699108985,502,1,1,2026-08-29T22:06:52.514408+00:00,1806733
e2_uci,wine_quality_red,map,0,1439,20,0.1950156999992032,1.569375001508888,652,1,1,2026-08-29T22:06:52.758337+00:00,1806733
e2_uci,kin8nm,map,0,7373,1000,46.518028700000286,0.6242979250954048,502,1,1,2026-08-29T22:07:39.336623+00:00,1806733
e2_uci,power_plant,map,0,8611,50,2.7009140999998635,0.5614420047451721,302,1,1,2026-08-29T22:07:42.089702+00:00,1806733
e2_uci,yacht,laplace,0,277,2000,5.03093760000047,1398.5290322213382,402,1,1,2026-08-29T22:07:47.210875+00:00,1806733
e2_uci,energy,laplace,0,691,1000,5.2487378000005265,231.5038960990602,502,1,1,2026-08-29T22:07:52.523149+00:00,1806733
e2_uci,concrete,laplace,0,927,1000,6.770297799999753,153.50485436216528,502,1,1,2026-08-29T22:07:59.357910+00:00,1806733
e2_uci,wine_quality_red,laplace,0,1439,20,0.9440128999995068,213.9725000006365,652,1,1,2026-08-29T22:08:00.386244+00:00,1806733
e2_uci,kin8nm,laplace,0,7373,1000,49.14227220000066,222.11428571502242,502,1,1,2026-08-29T22:08:49.769734+00:00,1806733
e2_uci,power_plant,laplace,0,8611,50,4.032129799999893,222.30334378164136,302,1,1,2026-08-29T22:08:54.068998+00:00,1806733
e2_uci,yacht,ensemble,0,277,2000,23.86772050000036,20.08387098378021,2010,1,1,2026-08-29T22:09:17.982429+00:00,1806733
e2_uci,energy,ensemble,0,691,1000,24.073275300001114,9.050649357770642,2510,1,1,2026-08-29T22:09:42.103074+00:00,1806733
e2_uci,concrete,ensemble,0,927,1000,32.12813449999885,7.668932031945199,2510,1,1,2026-08-29T22:10:14.279206+00:00,1806733
e2_uci,wine_quality_red,ensemble,0,1439,20,0.9854611999999179,5.334374998255953,3260,1,1,2026-08-29T22:10:15.311872+00:00,1806733
e2_uci,kin8nm,ensemble,0,7373,1000,274.38384190000033,2.3636141646704867,2510,1,1,2026-08-29T22:14:49.755653+00:00,1806733
e2_uci,power_plant,ensemble,0,8611,50,13.563038800000868,1.9988505739782907,1510,1,1,2026-08-29T22:15:03.372738+00:00,1806733
e2_uci,yacht,bbb,0,277,2000,111.0294001000002,451.41290326184037,803,1,1,2026-08-29T22:16:54.462739+00:00,1806733
e2_uci,energy,bbb,0,691,1000,113.20271660000071,200.105194805958,1003,1,1,2026-08-29T22:18:47.726908+00:00,1806733
e2_uci,concrete,bbb,0,927,1000,152.25030179999885,155.9407766974809,1003,1,1,2026-08-29T22:21:20.040800+00:00,1806733
e2_uci,wine_quality_red,bbb,0,1439,20,4.640367599999081,111.34750000110216,1303,1,1,2026-08-29T22:21:24.745971+00:00,1806733
e2_uci,kin8nm,bbb,0,7373,1000,1111.3909477999987,42.744566543615235,1003,1,1,2026-08-29T22:39:56.230009+00:00,1806733
e2_uci,power_plant,bbb,0,8611,50,64.57467250000082,39.10898641563523,603,1,1,2026-08-29T22:41:00.894708+00:00,1806733
e2_uci,yacht,gp,0,277,2000,0.8003903999997419,27.79032260033062,3,1,1,2026-08-29T22:41:01.741848+00:00,1806733
e2_uci,energy,gp,0,691,1000,11.798232900000585,24.036363628239357,3,1,1,2026-08-29T22:41:13.589214+00:00,1806733
e2_uci,concrete,gp,0,927,1000,9.412368100000094,25.406796127745377,3,1,1,2026-08-29T22:41:23.050694+00:00,1806733
e2_uci,wine_quality_red,gp,0,1439,20,33.31969980000031,45.54500000040207,3,1,1,2026-08-29T22:41:56.426506+00:00,1806733
