dataset,method,variant,dimension,split_index,n_train_full,n_train,n_removed,feature_n_distinct,gap_leak_fraction,n_gap_in,n_gap_out,mean_std_epi_gap_in,mean_std_epi_gap_out,epi_gap_ratio,rmse_gap_in,rmse_gap_out,ll_gap_in,ll_gap_out,picp95_gap_in,picp95_gap_out,timestamp,git_commit
energy,mcd,gap,0,0,691,462,229,12,0.0,27,50,0.8781219308418494,0.8317999363855729,1.0556888651104734,7.804628110330984,0.6762726449781022,-17.469230816158852,-1.349421354128857,0.0,1.0,2026-08-31T15:14:42.283148+00:00,1806733
energy,mcd,gap,1,0,691,462,229,12,0.0,27,50,0.8781219308418494,0.8317999363855729,1.0556888651104734,7.804628110330984,0.6762726449781022,-17.469230816158852,-1.349421354128857,0.0,1.0,2026-08-31T15:14:42.049636+00:00,1806733
energy,mcd,gap,2,0,691,461,230,7,0.2559652928416486,26,51,0.9195372311069948,0.976467918245609,0.94169732965636,5.020831747269011,0.7631866698719464,-6.615505788159182,-1.5192066022510484,0.5384615384615384,1.0,2026-08-31T15:14:42.129965+00:00,1806733
energy,mcd,gap,3,0,691,464,227,4,0.6271551724137931,29,48,1.0982198318370413,1.0756980589281833,1.0209368909071923,1.8322391809677547,1.2502794828560702,-2.050158550585829,-1.80004099249041,0.8620689655172413,0.9791666666666666,2026-08-31T15:14:41.886452+00:00,1806733
energy,mcd,gap,4,0,691,463,228,2,1.0,28,49,1.1700156817165168,1.1842351804126874,0.9879926733039502,1.0541389215494608,1.158401596889687,-1.7672840821889015,-1.80522592447503,1.0,1.0,2026-08-31T15:14:42.129699+00:00,1806733
energy,mcd,gap,5,0,691,464,227,4,0.2586206896551724,29,48,1.2511530614534352,1.2065795237735208,1.0369420637443876,1.0768517558090007,1.292691300119374,-1.8227141648651872,-1.8703355410287612,1.0,1.0,2026-08-31T15:14:41.780952+00:00,1806733
energy,mcd,gap,6,0,691,461,230,4,0.4381778741865509,26,51,1.225440151570106,1.1977920110138736,1.023082588881879,1.1909748162609637,1.2039552716665942,-1.8005037783166742,-1.809989010387769,1.0,1.0,2026-08-31T15:14:41.920975+00:00,1806733
energy,mcd,gap,7,0,691,463,228,6,0.3498920086393088,28,49,1.2443340353080872,1.246744825322558,0.9980663324479032,1.1195296651542936,1.2642241992160086,-1.8221009180588028,-1.865980104973869,1.0,1.0,2026-08-31T15:14:41.904285+00:00,1806733
energy,mcd,control,0,0,691,463,228,12,0.0,27,50,1.2461957001666566,1.1879702147958895,1.0490125801519117,0.9213890571373003,1.2898315942771073,-1.7584671295869714,-1.849411954050996,1.0,1.0,2026-08-31T15:14:50.742426+00:00,1806733
energy,mcd,control,1,0,691,463,228,12,0.0,27,50,1.2461957001666566,1.1879702147958895,1.0490125801519117,0.9213890571373003,1.2898315942771073,-1.7584671295869714,-1.849411954050996,1.0,1.0,2026-08-31T15:14:50.822717+00:00,1806733
energy,mcd,control,2,0,691,463,228,7,0.2559652928416486,26,51,1.12046269278753,1.253211071212126,0.8940734075256775,1.5842838233145762,0.8949345630704447,-1.942247567702699,-1.7539367341397618,1.0,1.0,2026-08-31T15:14:50.899644+00:00,1806733
energy,mcd,control,3,0,691,463,228,4,0.6271551724137931,29,48,1.2164658506567236,1.203505936984359,1.0107684667554182,1.3137622559839537,1.0806245381926105,-1.8630036340795972,-1.790043850272702,1.0,1.0,2026-08-31T15:14:50.977204+00:00,1806733
energy,mcd,control,4,0,691,463,228,2,1.0,28,49,1.2167143539290912,1.2036284231485646,1.010872068595967,1.0814431438015957,1.2235661986594228,-1.7901986551913185,-1.8331356705314517,1.0,1.0,2026-08-31T15:14:51.048373+00:00,1806733
energy,mcd,control,5,0,691,463,228,4,0.2586206896551724,29,48,1.232818326284324,1.1936263162926837,1.0328344050869855,1.0115274692544425,1.2618826107882783,-1.7784319035283422,-1.8411392708140857,1.0,1.0,2026-08-31T15:14:51.126612+00:00,1806733
energy,mcd,control,6,0,691,463,228,4,0.4381778741865509,26,51,1.2006829262294236,1.212314481614298,0.9904054966254416,1.0201784795382305,1.2449527131059936,-1.769942492346917,-1.8417785372623172,1.0,1.0,2026-08-31T15:14:51.204500+00:00,1806733
energy,mcd,control,7,0,691,463,228,6,0.3498920086393088,28,49,1.202994003694774,1.21146862328246,0.9930046726553065,1.1260747259682564,1.2003392161478514,-1.7981072793090014,-1.828616456749918,1.0,1.0,2026-08-31T15:14:51.290779+00:00,1806733
energy,map,gap,0,0,691,462,229,12,0.0,27,50,0.0,0.0,,12.474439551201854,0.3614397209343214,-618.6465817614082,-0.4016478077459564,0.0,0.96,2026-08-31T15:14:50.212140+00:00,1806733
energy,map,gap,1,0,691,462,229,12,0.0,27,50,0.0,0.0,,12.474439551201854,0.3614397209343214,-618.6465817614082,-0.4016478077459564,0.0,0.96,2026-08-31T15:14:50.316239+00:00,1806733
energy,map,gap,2,0,691,461,230,7,0.2559652928416486,26,51,0.0,0.0,,4.521538059955255,0.388047696977162,-64.0037244091229,-0.473161967690816,0.2692307692307692,0.9607843137254902,2026-08-31T15:14:50.351453+00:00,1806733
energy,map,gap,3,0,691,464,227,4,0.6271551724137931,29,48,0.0,0.0,,0.5679123968155513,0.4811088809659642,-1.0427125439518583,-0.7406366662295732,0.8620689655172413,0.8958333333333334,2026-08-31T15:14:50.375101+00:00,1806733
energy,map,gap,4,0,691,463,228,2,1.0,28,49,0.0,0.0,,0.4034797305042934,0.3693276507794382,-0.5118689328513055,-0.4345817129857319,0.9642857142857144,0.979591836734694,2026-08-31T15:14:50.282079+00:00,1806733
energy,map,gap,5,0,691,464,227,4,0.2586206896551724,29,48,0.0,0.0,,0.4440371732283723,0.4410985981659097,-0.607109918097178,-0.6005703548640912,0.9310344827586208,0.9375,2026-08-31T15:14:50.315932+00:00,1806733
energy,map,gap,6,0,691,461,230,4,0.4381778741865509,26,51,0.0,0.0,,0.5023050156462234,0.4336360124044371,-0.7440752998380753,-0.5845461238428659,0.9230769230769232,0.9803921568627452,2026-08-31T15:14:50.924495+00:00,1806733
energy,map,gap,7,0,691,463,228,6,0.3498920086393088,28,49,0.0,0.0,,0.4565655352684681,0.4744883739427534,-0.6380057332529067,-0.6826485626447368,0.9642857142857144,0.9183673469387756,2026-08-31T15:14:58.415733+00:00,1806733
