dataset,method,group,epi_gap_ratio_mean,epi_gap_ratio_sem,rmse_gap_in,rmse_gap_out,ll_gap_in,ll_gap_out,picp95_gap_in,picp95_gap_out,n_fits
concrete,bbb,control,0.9597979093272231,0.005801163586298908,5.609742690018587,5.667934647483501,-3.1624343663457433,-3.166031873478878,0.9159927163610911,0.9230665646670039,40
concrete,bbb,negative_control,0.9806131678308909,0.004012243449647599,8.127374149990862,5.432570391042666,-3.993482929516982,-3.1471477343837857,0.7823304821198492,0.915197880600508,100
concrete,bbb,real_gap,0.9652620093874984,0.004846794788311784,8.30819801076903,5.206351427288158,-4.185658681191864,-3.106668087923863,0.7305866651227308,0.9241796818663677,60
concrete,ensemble,control,0.8986155110217847,0.028156788110455706,5.003513071843734,5.062980864951532,-3.194181305174068,-3.1695450578673543,0.8684439560450198,0.8772091007877657,40
concrete,ensemble,negative_control,2.080740110947012,0.04724124971315381,7.95596386904996,4.790018593302864,-3.6690742474144837,-3.030583700559869,0.833656383088679,0.8948328995334133,100
concrete,ensemble,real_gap,2.518310877791924,0.05602150776599905,8.10225141257577,4.661765371925475,-3.785186574149307,-2.9793241408407076,0.826125426580068,0.8906991568961169,60
concrete,gp,control,0.8422710474327184,0.01934380001919008,5.790953631173304,6.004447186238926,-3.150757688096632,-3.190729423116617,0.9217952486162473,0.9289955544605032,40
concrete,gp,negative_control,1.6081826273156747,0.03507517547679354,7.301754152986612,5.693230862354909,-3.318336982799681,-3.1160641901179167,0.9149825739480403,0.931002973390959,100
concrete,gp,real_gap,1.5555356446538544,0.030472154017391017,7.013810283703601,5.60110555580857,-3.324757316349202,-3.0967034109999902,0.9118672240753478,0.9353986876453185,60
concrete,laplace,control,0.8897158960111886,0.02391262062803302,5.631583978675519,5.7771142146021734,-3.2977523315974437,-3.236456500529453,0.8420198618773614,0.8561861416189664,40
concrete,laplace,negative_control,1.9299832407352218,0.04658888477086989,9.06007071644489,5.200018260262612,-3.5706694050680867,-3.072820349244455,0.8535140596511003,0.8976857408406747,100
concrete,laplace,real_gap,2.0937357853671843,0.03886766224832099,9.179360250406267,5.082414709909646,-3.823043032764603,-3.046182387930743,0.8211564384587536,0.8927787960149247,60
concrete,map,control,,,5.631583978675519,5.7771142146021734,-4.319248867287726,-4.357481859810296,0.7458351818171044,0.7313889794008748,40
concrete,map,negative_control,,,9.06007071644489,5.200018260262612,-7.703695660863879,-3.8281372333513946,0.5852177670273288,0.7967922588792653,100
concrete,map,real_gap,,,9.179360250406267,5.082414709909646,-8.994953671036956,-3.9337197264639343,0.5023233931167128,0.7843244417918661,60
concrete,mcd,control,0.955631560319271,0.007741902649391099,5.923256219256712,6.035370715799291,-3.215979326254003,-3.230488122507429,0.9494762558346806,0.9463820640353504,40
concrete,mcd,negative_control,0.974534997727358,0.00493055970798345,6.718178615071398,5.680389799253982,-3.3433760128435313,-3.176330396833796,0.9178479824089512,0.9564390640647252,100
concrete,mcd,real_gap,0.9882673139366543,0.006467393035566045,7.0120394572825875,5.584475852259416,-3.3919336726323244,-3.1596794452298296,0.9103526838211067,0.9607326392976929,60
energy,bbb,control,0.9651858530188637,0.007074659615053456,0.6047184584166049,0.5763362042110542,-1.1424505474164983,-1.1321120797070974,0.998076923076923,0.9971314487399393,40
energy,bbb,duplicate_axis,1.1207448803505335,0.024762104599204783,12.683150783277929,0.4644159807940345,-102.46410741092912,-0.9430187025505493,0.14401692839061653,0.9990196078431373,20
energy,bbb,negative_control,1.0055399438814854,0.00824055241549402,1.427188936172034,0.5874010103188632,-3.2664578525495838,-1.1391338389400087,0.8731758916404723,0.993284879294808,120
energy,bbb,real_gap,1.1207448803505335,0.024762104599204783,12.683150783277929,0.4644159807940345,-102.46410741092912,-0.9430187025505493,0.14401692839061653,0.9990196078431373,20
energy,ensemble,control,0.9735615449769564,0.021796552989972018,0.5061424960319105,0.48627284679614036,-0.7462983912333636,-0.6861436483240368,0.9394793845310987,0.9440158140600537,40
energy,ensemble,duplicate_axis,11.179799967092446,0.5830405481206978,16.24452917730985,0.3408353487864337,-48.92894343877295,-0.3722082316389071,0.00217391304347826,0.9722082131720489,20
energy,ensemble,negative_control,1.3341704531661982,0.057460292308806775,1.1992430611280633,0.5037205616257139,-4.551822035201233,-0.755786803084561,0.8271351970310997,0.9368021985070218,120
