method,depth,dataset,seed,n_parameters,train_time_s,rmse_in_range,ll_in_range,picp95_in_range,mpiw95_in_range,median_std_epi_in_range,rmse_extrapolation,ll_extrapolation,picp95_extrapolation,mpiw95_extrapolation,median_std_epi_extrapolation,std_epi_at_m2,ratio_at_m2,std_epi_at_8,ratio_at_8,max_abs_delta_var_epi,max_abs_delta_var_epi_at_x,timestamp,git_commit,posterior_precision_lambda_min,posterior_precision_lambda_max,posterior_precision_cond,rmse_in_gap,ll_in_gap,picp95_in_gap,mpiw95_in_gap,median_std_epi_in_gap,gap_ratio
map,1,sin_homo,0,151,5.526563599996734,0.10337345486229882,0.8493430012809863,0.9383333333333334,0.39199279690801087,0.0,0.2144469191735299,-0.9157274973615496,0.575,0.3919927969080109,0.0,0.0,,0.0,,0.0,-2.0,2026-08-31T20:29:53.348562+00:00,1806733,,,,,,,,,
map,2,sin_homo,0,2701,7.818192200007616,0.10580131052340792,0.8239506943658436,0.9316666666666666,0.39199279690801087,0.0,0.5687411447966755,-14.789677929442266,0.135,0.3919927969080109,0.0,0.0,,0.0,,0.0,-2.0,2026-08-31T20:30:01.215559+00:00,1806733,,,,,,,,,
gp,0,sin_homo,0,3,0.8296239000046626,0.10282020235619008,0.8542100179538348,0.935,0.382629658517585,0.013630837567553924,0.34352633584748504,-0.4843188128742173,0.8775,1.031805198014648,0.21248605829790795,0.5249239649817964,38.51003009758518,0.5249239649817958,38.510030097585144,0.003378245913343292,7.98998998998999,2026-08-31T20:30:02.101613+00:00,1806733,,,,,,,,,
bbb,1,sin_homo,0,302,118.94260460001533,0.11634958338529207,0.7216659499659697,0.9766666666666667,0.5190514129801991,0.08952732622573648,0.7253672787252909,-11.505496347000536,0.1075,0.547799459256423,0.095590717981327,0.07819832649640115,0.873457633474163,0.1274044033126033,1.4230783905169089,5.759745159026816e-05,3.035035035035035,2026-08-31T20:32:01.130249+00:00,1806733,,,,,,,,,
bbb,2,sin_homo,0,5402,140.91288289998192,0.10960902295303043,0.7453844853494994,0.9866666666666667,0.5424510949527721,0.09279187569046174,0.9607589414873773,-20.827152566900864,0.055,0.5678381357264835,0.10365522337909427,0.11386354008116788,1.227085229540975,0.10475419373309253,1.1289155753520392,0.0002642243503246343,5.347347347347347,2026-08-31T20:34:22.251150+00:00,1806733,,,,,,,,,
mcd,1,sin_homo,0,151,6.041189400013536,0.1409097697646579,0.5629990383291041,0.96,0.5876497293206818,0.11987176514315374,0.8872215313566946,-12.278507884999296,0.105,0.6817700822148395,0.14089052940538116,0.1544284797616228,1.288280685424133,0.1287048022662961,1.0736873867886547,0.018591523344829625,-0.10810810810810811,2026-08-31T20:34:28.485810+00:00,1806733,,,,,,,,,
mcd,2,sin_homo,0,2701,8.898242700000992,0.12401149906771256,0.6667559522609499,0.95,0.5120493986505055,0.0844437233210537,1.0152880057166946,-26.093954766809226,0.0225,0.5390237094415615,0.09419669250719909,0.09783068669953454,1.1585311832779308,0.08894888667264447,1.0533510742351118,0.006027743317937045,7.60960960960961,2026-08-31T20:34:37.736040+00:00,1806733,,,,,,,,,
laplace,1,sin_homo,0,151,5.650550599995768,0.10337345486229882,0.8512489435461832,0.9416666666666667,0.39833928215664627,0.016857180278895115,0.2144469191735299,-0.1735505712492908,0.9725,1.5880079941337186,0.34059061825116294,0.8942756342720147,53.05013172289743,0.88334073956289,52.40145296831266,0.010351566718819316,-2.0,2026-08-31T20:34:43.755794+00:00,1806733,0.991093244996345,1577965.709978756,1592146.5694023324,,,,,,
laplace,2,sin_homo,0,2701,13.41213259997312,0.10580131052340792,0.8275871159516395,0.935,0.40079242415158667,0.02022591042974485,0.5687411447966755,-0.8372982423166225,0.945,1.548424481441411,0.39667463205949877,0.5576511998492744,27.571129704459445,0.7232915926657003,35.76064450488247,0.0034201359698431966,7.44944944944945,2026-08-31T20:35:01.127740+00:00,1806733,0.997913963533303,240310.94475383015,240813.29005855758,,,,,,
ensemble,1,sin_homo,0,755,27.49934960002429,0.10426925608901337,0.8394716494132295,0.9366666666666666,0.39972114031076145,0.020422461735083906,0.20192454231640358,-0.5229411208529573,0.6375,0.4213316449979234,0.02720283353334764,0.09913658367082083,4.854291561751996,0.054502766367933386,2.6687657479755567,0.00014576599712889937,-2.0,2026-08-31T20:35:29.706880+00:00,1806733,,,,,,,,,
