experiment_id,dataset,method,T,repeat,init_seed,predict_seed,mpiw95,picp95,ll,rmse,mean_std_epistemic,mean_var_epistemic,timestamp,git_commit
e6a,sin_homo,mcd,2,0,0,0,0.926080927943919,0.679,-2.848741848387634,0.5865730331077373,0.11251289675915004,0.02108442285614192,2026-08-31T19:36:29.300351+00:00,1806733
e6a,sin_homo,mcd,2,1,0,1000,0.9205227297741326,0.682,-2.6679538313432047,0.5793353443669291,0.10924612024279554,0.020648892800999248,2026-08-31T19:36:29.332578+00:00,1806733
e6a,sin_homo,mcd,2,2,0,2000,0.9257419893707379,0.699,-2.7097246594801683,0.5814049599221071,0.1115858760472098,0.021366169461184234,2026-08-31T19:36:29.360645+00:00,1806733
e6a,sin_homo,mcd,2,3,0,3000,0.9194889263413204,0.689,-2.607650168201678,0.5767746748716924,0.10910791963583187,0.020346407016999912,2026-08-31T19:36:29.391430+00:00,1806733
e6a,sin_homo,mcd,2,4,0,4000,0.9262522661584347,0.705,-2.7635692212507985,0.5790266482748467,0.11104256409392642,0.021723522196498517,2026-08-31T19:36:29.422555+00:00,1806733
e6a,sin_homo,mcd,2,5,0,5000,0.9185391913339926,0.689,-2.7063757369352937,0.5791822688658345,0.11031680203334444,0.01993945195246377,2026-08-31T19:36:29.450009+00:00,1806733
e6a,sin_homo,mcd,2,6,0,6000,0.9329998390962904,0.692,-2.7070158034765806,0.5758464002610716,0.11441249405168796,0.022516735734105797,2026-08-31T19:36:29.476857+00:00,1806733
e6a,sin_homo,mcd,2,7,0,7000,0.9253664576206005,0.687,-2.558972047746524,0.5768465872637147,0.11155780821504337,0.02105012588726933,2026-08-31T19:36:29.506741+00:00,1806733
e6a,sin_homo,mcd,2,8,0,8000,0.9192301279815125,0.693,-2.6589864210913237,0.5732674917810002,0.10843348599177366,0.02063302672398384,2026-08-31T19:36:29.533877+00:00,1806733
e6a,sin_homo,mcd,2,9,0,9000,0.9294819325008327,0.692,-2.5978490948597157,0.5748236171325349,0.11331000473376932,0.021738077221939982,2026-08-31T19:36:29.560916+00:00,1806733
