dataset,split_index,n_restarts_optimizer,n_train,n_test,n_warnings,lbfgs_abnormal,bound_warnings,warned,constant_value,length_scale,noise_level,constant_value_at_bound,length_scale_at_bound,noise_level_at_bound,log_marginal_likelihood,rmse,ll,picp95,mpiw95,first_message,timestamp,git_commit
energy,0,5,691,77,3,2,1,True,100000.00000000001,11.752258286964889,0.0015260720895161966,upper,no,no,757.8166401973901,0.38711035276442074,-0.4806186768489688,0.948051948051948,1.7366456317091064,lbfgs failed to converge after 23 iteration(s) (status=2):,2026-08-29T23:19:55.043952+00:00,1806733
energy,1,5,691,77,2,1,1,True,100000.00000000001,11.547672357479783,0.0013448227117690433,upper,no,no,787.0265741973344,0.5650368787491239,-0.917490422593032,0.8961038961038961,1.6274717132205305,lbfgs failed to converge after 33 iteration(s) (status=2):,2026-08-29T23:19:55.105657+00:00,1806733
energy,2,5,691,77,3,2,1,True,100000.00000000001,11.70395444782766,0.0014834070201292838,upper,no,no,766.1030152378246,0.4253652092084378,-0.565725113255324,0.935064935064935,1.7121411090978833,lbfgs failed to converge after 19 iteration(s) (status=2):,2026-08-29T23:19:55.141792+00:00,1806733
energy,3,5,691,77,2,1,1,True,100000.00000000001,11.73454070839719,0.0014518533304041185,upper,no,no,772.9253553972758,0.45643173147220667,-0.6369857123307782,0.922077922077922,1.7260656516412223,lbfgs failed to converge after 18 iteration(s) (status=2):,2026-08-29T23:19:55.196269+00:00,1806733
energy,4,5,691,77,2,1,1,True,100000.00000000001,11.657892910429691,0.0014097776963025359,upper,no,no,776.9118061624608,0.5113723621984292,-0.7950324568512386,0.8701298701298701,1.661653137384798,lbfgs failed to converge after 17 iteration(s) (status=2):,2026-08-29T23:19:55.238851+00:00,1806733
energy,5,5,691,77,3,2,1,True,100000.00000000001,11.827610297869942,0.0014891636289567245,upper,no,no,769.0559987700788,0.4363062365467637,-0.5867770610360874,0.922077922077922,1.7018419807100968,lbfgs failed to converge after 18 iteration(s) (status=2):,2026-08-29T23:19:55.276524+00:00,1806733
energy,6,5,691,77,3,2,1,True,100000.00000000001,11.616545821341848,0.00149289192001985,upper,no,no,761.0139546645973,0.45956490313507525,-0.6078517304077844,0.9090909090909091,1.7512984658468174,lbfgs failed to converge after 22 iteration(s) (status=2):,2026-08-29T23:19:55.325960+00:00,1806733
energy,7,5,691,77,3,2,1,True,100000.00000000001,11.710631735228949,0.0014783289791682405,upper,no,no,765.8609961418499,0.4461833583678872,-0.6024998543110854,0.961038961038961,1.7509873551848791,lbfgs failed to converge after 20 iteration(s) (status=2):,2026-08-29T23:19:55.366940+00:00,1806733
energy,8,5,691,77,3,2,1,True,100000.00000000001,11.783624467595352,0.0013843410277091833,upper,no,no,786.7310574500575,0.5642985361379012,-0.8684737697374783,0.9090909090909091,1.6894631225975674,lbfgs failed to converge after 30 iteration(s) (status=2):,2026-08-29T23:20:04.542296+00:00,1806733
energy,9,5,691,77,2,1,1,True,100000.00000000001,11.798987814567438,0.0015668766207798028,upper,no,no,751.8261769188289,0.36368320904348495,-0.45520280575140737,0.974025974025974,1.8096777178486128,lbfgs failed to converge after 30 iteration(s) (status=2):,2026-08-29T23:20:04.577830+00:00,1806733
energy,10,5,691,77,4,3,1,True,100000.00000000001,11.604676147748679,0.0015077215175549731,upper,no,no,757.7619890010269,0.4026772755743359,-0.5285800282687804,0.922077922077922,1.7206835166142052,lbfgs failed to converge after 19 iteration(s) (status=2):,2026-08-29T23:20:19.188704+00:00,1806733
energy,11,5,691,77,3,2,1,True,100000.00000000001,11.73456098188666,0.0014944489582914746,upper,no,no,764.5935234638384,0.41268231673722866,-0.5361477028378137,0.961038961038961,1.7277179254428165,lbfgs failed to converge after 20 iteration(s) (status=2):,2026-08-29T23:20:19.238359+00:00,1806733
energy,12,5,691,77,2,1,1,True,100000.00000000001,11.730072476926715,0.001374146933914024,upper,no,no,788.1510559694393,0.5725791081544466,-0.9570281906293219,0.8961038961038961,1.6508245342330767,lbfgs failed to converge after 24 iteration(s) (status=2):,2026-08-29T23:20:19.282061+00:00,1806733
energy,13,5,691,77,4,3,1,True,100000.00000000001,11.682407163224584,0.001463490176958255,upper,no,no,768.2066665220605,0.4389975400085678,-0.5741274537143837,0.935064935064935,1.7399727123680984,lbfgs failed to converge after 24 iteration(s) (status=2):,2026-08-29T23:20:19.328074+00:00,1806733
energy,14,5,691,77,2,1,1,True,100000.00000000001,11.712023350035887,0.0015281243689829035,upper,no,no,757.285167931426,0.40895514624663326,-0.529386711084225,0.948051948051948,1.7694402509269724,lbfgs failed to converge after 27 iteration(s) (status=2):,2026-08-29T23:20:19.380305+00:00,1806733
energy,15,5,691,77,2,1,1,True,100000.00000000001,11.719013694967844,0.0015336687589035873,upper,no,no,756.5945090332598,0.4152005368534555,-0.5518392234580428,0.922077922077922,1.7362047476088038,lbfgs failed to converge after 22 iteration(s) (status=2):,2026-08-29T23:20:19.427391+00:00,1806733
energy,16,5,691,77,2,1,1,True,100000.00000000001,11.690507888667526,0.0013694145954244751,upper,no,no,787.949723583441,0.5779938512399428,-0.976423659112496,0.8831168831168831,1.6410963350234369,lbfgs failed to converge after 18 iteration(s) (status=2):,2026-08-29T23:20:21.127027+00:00,1806733
energy,17,5,691,77,1,0,1,True,100000.00000000001,11.607803618902423,0.0014617149003494996,upper,no,no,764.6767147079979,0.4406105064048535,-0.5984252680643355,0.922077922077922,1.7071667663120884,The optimal value found for dimension 0 of parameter k1__k1__constant_value is close to the specified upper bound 100000.0. Increasing the bound and calling fit again may find a better value.,2026-08-29T23:20:21.162400+00:00,1806733
energy,18,5,691,77,2,1,1,True,100000.00000000001,11.742937285879428,0.0014110485245821414,upper,no,no,780.7716062291261,0.5040043520903112,-0.6924607442745687,0.922077922077922,1.7052472408652197,lbfgs failed to converge after 36 iteration(s) (status=2):,2026-08-29T23:20:31.583411+00:00,1806733
energy,19,5,691,77,3,2,1,True,100000.00000000001,11.74326261650229,0.0013832403913663746,upper,no,no,784.9593749033297,0.5341105036014466,-0.8484835049702945,0.9090909090909091,1.670465084876648,lbfgs failed to converge after 21 iteration(s) (status=2):,2026-08-29T23:20:31.630986+00:00,1806733
wine_quality_red,0,5,1439,160,1,0,1,True,1.0772471952407012,0.5895672374221532,9.999999999999997e-06,no,no,lower,-869.085968467946,0.6415878924176591,0.8134505859924166,0.95625,1.9351482960124884,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:21:55.912136+00:00,1806733
wine_quality_red,1,5,1439,160,1,0,1,True,1.0768802120124763,0.6143946086674331,9.999999999999997e-06,no,no,lower,-778.3010074624244,0.6163107216015363,0.4447643355259226,0.96875,2.111438915126719,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:22:05.182415+00:00,1806733
wine_quality_red,2,5,1439,160,1,0,1,True,1.0574787442778886,0.6198862066062807,9.999999999999997e-06,no,no,lower,-789.02499851475,0.8203353242183976,0.22380241529232753,0.88125,1.9712485347963464,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:22:05.245666+00:00,1806733
wine_quality_red,3,5,1439,160,1,0,1,True,1.091608504708191,0.627672057063136,9.999999999999997e-06,no,no,lower,-765.9849384538979,0.5860963527088414,0.2882423903252336,0.95,2.1595762854512506,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:22:05.308796+00:00,1806733
wine_quality_red,4,5,1439,160,1,0,1,True,1.0898976673336913,0.6043344244516424,9.999999999999997e-06,no,no,lower,-835.1476044967058,0.5381177638256248,0.7528240944729669,0.9875,2.0333502450084877,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:22:05.365910+00:00,1806733
wine_quality_red,5,5,1439,160,1,0,1,True,1.0969083781804359,0.6207468885030764,9.999999999999997e-06,no,no,lower,-828.4352046874392,0.589068935430337,0.667424529421429,0.9625,1.9679135286306213,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:22:11.011870+00:00,1806733
wine_quality_red,6,5,1439,160,1,0,1,True,1.0824195464979285,0.6189128093288203,9.999999999999997e-06,no,no,lower,-799.5248342283228,0.6673352707003862,0.3604746707971512,0.95625,2.0734718500060176,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:22:11.071910+00:00,1806733
wine_quality_red,7,5,1439,160,1,0,1,True,1.080340062551494,0.6350137689155801,9.999999999999997e-06,no,no,lower,-710.4527945995394,0.7312345418942398,-0.1746051102040757,0.90625,2.261088741498206,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:22:11.119973+00:00,1806733
wine_quality_red,8,5,1439,160,1,0,1,True,1.068893261598634,0.6128028518987676,9.999999999999997e-06,no,no,lower,-842.6021387430362,0.6429331173079458,0.7058735222910445,0.9625,1.9494849967684562,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:23:23.746107+00:00,1806733
wine_quality_red,9,5,1439,160,1,0,1,True,1.0721997338363383,0.6187134557853908,9.999999999999997e-06,no,no,lower,-782.3482780515994,0.7097161764733555,0.3377351114322638,0.9,2.1035873278520762,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:23:46.638428+00:00,1806733
wine_quality_red,10,5,1439,160,1,0,1,True,1.0839371026136755,0.6168056757284403,9.999999999999997e-06,no,no,lower,-806.8835007500857,0.6859414840665292,0.5005366360065219,0.9625,2.077114301639729,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:23:46.722618+00:00,1806733
wine_quality_red,11,5,1439,160,1,0,1,True,1.0789442623152012,0.6282483703081198,9.999999999999997e-06,no,no,lower,-878.1463867382713,0.6701890646027544,0.8758877877720629,0.95,1.8429676140111293,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:23:56.948685+00:00,1806733
wine_quality_red,12,5,1439,160,1,0,1,True,1.0765777717779235,0.6138689245979458,9.999999999999997e-06,no,no,lower,-746.2736679961474,0.6833097746191176,0.181348886479702,0.94375,2.2479511129060086,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:23:57.001612+00:00,1806733
wine_quality_red,13,5,1439,160,1,0,1,True,1.0772845783996159,0.6402697598659932,9.999999999999997e-06,no,no,lower,-784.8559216197467,0.555558304048218,0.38266839698033095,0.95,2.092850708730839,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:23:57.071125+00:00,1806733
wine_quality_red,14,5,1439,160,1,0,1,True,1.091035141719577,0.6176905399911957,9.999999999999997e-06,no,no,lower,-767.7994693864377,0.6468552254041191,0.2681910420329169,0.9625,2.1871637756520306,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:23:57.118260+00:00,1806733
wine_quality_red,15,5,1439,160,1,0,1,True,1.0907502847482156,0.6183869726820792,9.999999999999997e-06,no,no,lower,-771.5731562080894,0.5602060877970316,0.37930263052695645,0.9875,2.212842808453602,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:24:14.929602+00:00,1806733
wine_quality_red,16,5,1439,160,1,0,1,True,1.0692857999199152,0.6018725424971336,9.999999999999997e-06,no,no,lower,-803.2379203015931,0.6764164754078634,0.45317107206694784,0.95625,2.014299142309028,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:24:29.971196+00:00,1806733
wine_quality_red,17,5,1439,160,1,0,1,True,1.0671714414617914,0.6319978893366285,9.999999999999997e-06,no,no,lower,-795.167555764476,0.6703789132807935,0.32059264629434464,0.9375,1.9858959324212289,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-05. Decreasing the bound and calling fit again may find a better value.,2026-08-29T23:24:32.880931+00:00,1806733
