dataset,method,metric,split_index,own_value,published_value,difference
concrete,mcd,ll,0,-3.1966333768176884,-3.0498930186595428,-0.14674035815814568
concrete,mcd,ll,1,-3.1703195967237905,-2.930489207038067,-0.23983038968572368
concrete,mcd,ll,2,-3.0962257935323865,-2.7917025469190224,-0.30452324661336405
concrete,mcd,ll,3,-3.194255302983532,-2.9249630654602736,-0.2692922375232585
concrete,mcd,ll,4,-3.218386255988198,-3.0924028369497027,-0.1259834190384952
concrete,mcd,ll,5,-3.214026917319598,-2.830087106592978,-0.3839398107266203
concrete,mcd,ll,6,-3.255668305484823,-3.028777661296283,-0.22689064418854032
concrete,mcd,ll,7,-3.170802983927146,-2.9874813175062247,-0.1833216664209214
concrete,mcd,ll,8,-3.1839399761417058,-2.8692172804169984,-0.31472269572470735
concrete,mcd,ll,9,-3.1223069708263824,-2.9762331118227525,-0.1460738590036299
concrete,mcd,ll,10,-3.023054884758073,-2.710934497558663,-0.31212038719941004
concrete,mcd,ll,11,-3.089948460315805,-2.8171335896701164,-0.27281487064568877
concrete,mcd,ll,12,-3.187853130879808,-2.882523035425393,-0.30533009545441514
concrete,mcd,ll,13,-3.070675335898498,-2.7977036086593725,-0.27297172723912544
concrete,mcd,ll,14,-3.2048747966656697,-3.0500209788479316,-0.1548538178177381
concrete,mcd,ll,15,-3.151069966460464,-2.9324900927453728,-0.21857987371509102
concrete,mcd,ll,16,-3.2201850969625823,-2.9564102950535593,-0.2637748019090229
concrete,mcd,ll,17,-3.1517391934778614,-2.8958148206484453,-0.25592437282941605
concrete,mcd,ll,18,-3.2330973868454977,-3.127511896792499,-0.10558549005299867
concrete,mcd,ll,19,-3.198069800763439,-3.0813276071444693,-0.11674219361896965
concrete,mcd,rmse,0,5.889535143199403,5.438703427547408,0.45083171565199454
concrete,mcd,rmse,1,5.709239490115036,4.673398821075422,1.0358406690396142
concrete,mcd,rmse,2,5.157431948553547,3.7604257762839493,1.3970061722695974
concrete,mcd,rmse,3,5.822098044270399,4.535900597832999,1.2861974464374004
concrete,mcd,rmse,4,5.9909516159001015,5.56192235179972,0.42902926410038145
concrete,mcd,rmse,5,5.920586365300405,3.9881517544487157,1.9324346108516894
concrete,mcd,rmse,6,6.258617483407432,5.878222785137136,0.3803946982702966
concrete,mcd,rmse,7,5.675989563355483,5.170036313029098,0.5059532503263844
concrete,mcd,rmse,8,5.804430466097329,4.552494476421576,1.2519359896757525
concrete,mcd,rmse,9,5.343779487639018,4.880133112990969,0.46364637464804836
concrete,mcd,rmse,10,4.6000396213878165,3.768809222617631,0.8312303987701855
concrete,mcd,rmse,11,5.03401075250714,4.458397179309968,0.5756135731971712
concrete,mcd,rmse,12,5.836051589700855,4.447321253800009,1.3887303359008456
concrete,mcd,rmse,13,4.9617025801822905,3.8189718495980203,1.1427307305842702
concrete,mcd,rmse,14,5.934292940820469,5.814561623889275,0.11973131693119399
concrete,mcd,rmse,15,5.4998100190919175,4.887840398517562,0.6119696205743557
concrete,mcd,rmse,16,6.03893220545737,4.543333343672162,1.4955988617852078
concrete,mcd,rmse,17,5.570671664351599,4.44982560369068,1.1208460606609192
concrete,mcd,rmse,18,6.1825340593494,5.917640186601453,0.2648938727479466
concrete,mcd,rmse,19,5.978543330878686,5.983116474630151,-0.00457314375146467
energy,mcd,ll,0,-1.7731628168753737,-1.1736070369820333,-0.5995557798933404
energy,mcd,ll,1,-1.7832041287973592,-1.2103908398023435,-0.5728132889950157
energy,mcd,ll,2,-1.7073002272520117,-1.1760100569613785,-0.5312901702906332
energy,mcd,ll,3,-1.7524229741629764,-1.209790511538811,-0.5426324626241654
energy,mcd,ll,4,-1.7843154052316097,-1.2212950847408874,-0.5630203204907223
energy,mcd,ll,5,-1.7304814751815578,-1.2024203195624423,-0.5280611556191155
energy,mcd,ll,6,-1.7422446618583427,-1.1863273790193936,-0.5559172828389491
energy,mcd,ll,7,-1.7744549451237257,-1.2049036949841192,-0.5695512501396065
energy,mcd,ll,8,-1.930233820719264,-1.2449481248894079,-0.6852856958298561
energy,mcd,ll,9,-1.7311506644420285,-1.1917029268465231,-0.5394477375955053
energy,mcd,ll,10,-1.804777323736756,-1.260580235724541,-0.5441970880122149
energy,mcd,ll,11,-1.7050956805385302,-1.2060459481200687,-0.4990497324184615
energy,mcd,ll,12,-1.7554199842213554,-1.2514234199456327,-0.5039965642757227
energy,mcd,ll,13,-1.834994951126579,-1.2047162800839142,-0.6302786710426649
energy,mcd,ll,14,-1.7869119132088078,-1.1786633004704092,-0.6082486127383986
energy,mcd,ll,15,-1.746988621238095,-1.222188739955025,-0.5247998812830699
energy,mcd,ll,16,-1.809943772082253,-1.2278099280980466,-0.5821338439842065
energy,mcd,ll,17,-1.7620943717217683,-1.2015440008974794,-0.5605503708242889
energy,mcd,ll,18,-1.878367648346677,-1.2219462565356343,-0.6564213918110426
energy,mcd,ll,19,-1.8365696674048109,-1.2340261657029883,-0.6025435017018226
energy,mcd,rmse,0,1.0766257910138994,0.43528679995892394,0.6413389910549755
energy,mcd,rmse,1,1.2461044113103792,0.537971587028242,0.7081328242821372
energy,mcd,rmse,2,0.9769974077590544,0.440205693496562,0.5367917142624924
energy,mcd,rmse,3,1.181911305606372,0.5341912619994128,0.6477200436069591
energy,mcd,rmse,4,1.1828392593820345,0.5683666144326105,0.614472644949424
energy,mcd,rmse,5,1.0236567677676272,0.5072835271495812,0.5163732406180459
energy,mcd,rmse,6,1.0481651729729542,0.4682024208169384,0.5799627521560158
energy,mcd,rmse,7,1.162244465873737,0.5241131504378737,0.6381313154358633
energy,mcd,rmse,8,1.5443860465721246,0.6283585490957749,0.9160274974763497
energy,mcd,rmse,9,1.1046570618174592,0.48422363548870034,0.6204334263287588
energy,mcd,rmse,10,1.2398735967471777,0.6327825721489393,0.6070910245982384
energy,mcd,rmse,11,1.0630455889247732,0.5323713001655607,0.5306742887592125
energy,mcd,rmse,12,1.167213145895055,0.6436052326599889,0.5236079132350661
energy,mcd,rmse,13,1.4147153496332223,0.5161936602278276,0.8985216894053947
energy,mcd,rmse,14,1.2130892764053316,0.46310784128276017,0.7499814351225714
energy,mcd,rmse,15,1.0063378156814042,0.5803308267163072,0.42600698896509703
energy,mcd,rmse,16,1.231230954752681,0.5938541904103963,0.6373767643422846
energy,mcd,rmse,17,1.0945377384133956,0.5249432102978264,0.5695945281155692
energy,mcd,rmse,18,1.5234053406574584,0.5768645801372875,0.9465407605201709
energy,mcd,rmse,19,1.307049533407571,0.5850762094122559,0.721973323995315
kin8nm,mcd,ll,0,0.8810995550570071,1.0703661602521444,-0.18926660519513727
kin8nm,mcd,ll,1,0.8721998286171031,1.135698437358372,-0.26349860874126896
kin8nm,mcd,ll,2,0.9020063840003336,1.137010269283691,-0.23500388528335736
kin8nm,mcd,ll,3,0.9125795853001722,1.1396875286502586,-0.22710794335008633
kin8nm,mcd,ll,4,0.8953118126800691,1.1825693035969627,-0.28725749091689357
kin8nm,mcd,ll,5,0.844008768226832,1.1082217462451307,-0.2642129780182987
kin8nm,mcd,ll,6,0.8963010451877593,1.1401671672627012,-0.24386612207494185
kin8nm,mcd,ll,7,0.8927858468174956,1.1545387102062874,-0.2617528633887918
kin8nm,mcd,ll,8,0.8994834676918887,1.1442321719916961,-0.24474870429980744
kin8nm,mcd,ll,9,0.8915859435818404,1.0877184156067539,-0.19613247202491346
kin8nm,mcd,ll,10,0.90419992301254,1.1589423725067323,-0.2547424494941922
kin8nm,mcd,ll,11,0.8613229980683315,1.112505927628439,-0.25118292956010757
kin8nm,mcd,ll,12,0.9013609262447791,1.1287437550626045,-0.22738282881782534
kin8nm,mcd,ll,13,0.8810242924340401,1.1781988809912478,-0.2971745885572077
kin8nm,mcd,ll,14,0.9089096871491956,1.1074859220807158,-0.1985762349315202
kin8nm,mcd,ll,15,0.8624793808870291,1.1556002448411478,-0.2931208639541186
kin8nm,mcd,ll,16,0.8567101127820395,1.1700942073902074,-0.31338409460816796
kin8nm,mcd,ll,17,0.8809671726465224,1.1037292728754058,-0.22276210022888343
kin8nm,mcd,ll,18,0.8638745616823882,1.1426337182355808,-0.2787591565531926
kin8nm,mcd,ll,19,0.8977764261742225,1.170377938559366,-0.2726015123851435
kin8nm,mcd,rmse,0,0.0938907342037037,0.08291184573869471,0.010978888465008982
kin8nm,mcd,rmse,1,0.0944672265154791,0.08162276016539015,0.012844466350088957
kin8nm,mcd,rmse,2,0.0884224663669492,0.07892916685076828,0.009493299516180914
kin8nm,mcd,rmse,3,0.0888559008567212,0.07793063056757381,0.010925270289147387
kin8nm,mcd,rmse,4,0.0921915711771021,0.0738900508360616,0.018301520341040503
kin8nm,mcd,rmse,5,0.0994229997983523,0.08207478067079793,0.017348219127554368
kin8nm,mcd,rmse,6,0.0897812199717617,0.07874734796856196,0.011033872003199732
kin8nm,mcd,rmse,7,0.0918312552953481,0.0769057803970417,0.014925474898306396
kin8nm,mcd,rmse,8,0.0913235228524285,0.07851253995027693,0.01281098290215156
kin8nm,mcd,rmse,9,0.0913508460290295,0.08236564401840472,0.008985202010624777
kin8nm,mcd,rmse,10,0.0902972908578022,0.07630580525191717,0.013991485605885035
kin8nm,mcd,rmse,11,0.0978069717298211,0.08030371746519537,0.017503254264625734
kin8nm,mcd,rmse,12,0.0912682165420475,0.07950416532762473,0.011764051214422769
kin8nm,mcd,rmse,13,0.0934869265607448,0.07625357781348877,0.01723334874725603
