dataset,clamp,clamp_lo,n_seeds_hit,n_seeds,mean_hit_epoch,mean_residual_var_at_hit,mean_var_alea_at_hit,final_log_sigma2_raw,final_var_aleatoric,final_residual_var_fit,final_val_nll,final_val_rmse
yacht,default,-6.0,3,3,341.6666666666667,0.001702578798923114,0.0024787521766663585,-6.051971862831759,0.0024787521766663585,0.0006923533648338602,-1.3614769376134532,0.05969072243564916
yacht,wide,-12.0,0,3,,,,-7.480887485786011,0.000569594574649553,0.0005342740558870951,-0.08244352862039794,0.05539615033952718
energy,default,-6.0,3,3,295.3333333333333,0.002227720046948004,0.0024787521766663585,-6.032137216530153,0.0024787521766663585,0.001353582661135228,-1.590572876124044,0.04926924061794269
energy,wide,-12.0,0,3,,,,-6.6351750974308175,0.0013139471558351924,0.0013095544452977666,-1.547428109317826,0.04724945395176967
concrete,default,-6.0,0,3,,,,-3.8209345715628635,0.021963649632034954,0.020715393212187082,1.3156957039692374,0.31800550134762345
concrete,wide,-12.0,0,3,,,,-3.8209345715628635,0.021963649632034954,0.020715393212187082,1.3156957039692374,0.31800550134762345
wine_quality_red,default,-6.0,0,3,,,,-1.3649998205568472,0.25646351019519825,0.2529634084477546,2.412543975504286,1.0431255846408105
wine_quality_red,wide,-12.0,0,3,,,,-1.3649998205568472,0.25646351019519825,0.2529634084477546,2.412543975504286,1.0431255846408105
kin8nm,default,-6.0,0,3,,,,-2.7411722923636215,0.06453794014343206,0.06219039920933256,0.14412780511971038,0.2772189495360244
kin8nm,wide,-12.0,0,3,,,,-2.7411722923636215,0.06453794014343206,0.06219039920933256,0.14412780511971038,0.2772189495360244
power_plant,default,-6.0,0,3,,,,-2.8777509589973995,0.05626999485283634,0.05610459452388744,-0.03172106041949615,0.2343238068871701
power_plant,wide,-12.0,0,3,,,,-2.8777509589973995,0.05626999485283634,0.05610459452388744,-0.03172106041949615,0.2343238068871701
