dataset,split_index,dropout_p,tau,n_train,n_validation,epochs,validation_rmse,validation_ll,timestamp,git_commit
yacht,0,0.005,0.25,221,56,4000,0.5833915054789667,-1.6594858146855043,2026-08-30T23:12:28.115328+00:00,1806733
yacht,0,0.005,0.5,221,56,4000,0.5676624604466776,-1.3484374817840379,2026-08-30T23:12:28.148070+00:00,1806733
yacht,0,0.005,0.75,221,56,4000,0.5833981306281545,-1.1858262408789437,2026-08-30T23:12:28.180622+00:00,1806733
yacht,0,0.01,0.25,221,56,4000,0.7006293991157027,-1.6755702322627315,2026-08-30T23:12:28.214897+00:00,1806733
yacht,0,0.01,0.5,221,56,4000,0.6837446944418926,-1.3719132937865663,2026-08-30T23:12:28.240623+00:00,1806733
yacht,0,0.01,0.75,221,56,4000,0.6996500261136697,-1.213919031702344,2026-08-30T23:12:28.272775+00:00,1806733
yacht,0,0.05,0.25,221,56,4000,1.4271873708389717,-1.8102779845216708,2026-08-30T23:12:28.300586+00:00,1806733
yacht,0,0.05,0.5,221,56,4000,1.4222531823151965,-1.594514595624689,2026-08-30T23:12:28.328599+00:00,1806733
yacht,0,0.05,0.75,221,56,4000,1.4175466019812473,-1.501856769913529,2026-08-30T23:12:28.356053+00:00,1806733
yacht,0,0.1,0.25,221,56,4000,2.2248958314710676,-1.9959230518063762,2026-08-30T23:12:28.383548+00:00,1806733
yacht,0,0.1,0.5,221,56,4000,2.2230323212678007,-1.8823375920390895,2026-08-30T23:12:28.410890+00:00,1806733
yacht,0,0.1,0.75,221,56,4000,2.2248610189386837,-1.8723960296394773,2026-08-30T23:12:28.438017+00:00,1806733
yacht,1,0.005,0.25,221,56,4000,0.5814226803886156,-1.670944180286886,2026-08-30T23:12:29.978943+00:00,1806733
yacht,1,0.005,0.5,221,56,4000,0.5762630274692453,-1.3726014543051928,2026-08-30T23:12:30.010601+00:00,1806733
yacht,1,0.005,0.75,221,56,4000,0.5932383918978463,-1.2197979350457953,2026-08-30T23:12:30.042086+00:00,1806733
yacht,1,0.01,0.25,221,56,4000,0.6073168801553162,-1.6834454744047795,2026-08-30T23:12:30.074805+00:00,1806733
yacht,1,0.01,0.5,221,56,4000,0.6102905575198508,-1.3929902283524498,2026-08-30T23:12:30.108951+00:00,1806733
yacht,1,0.01,0.75,221,56,4000,0.5988846126005568,-1.239060851104996,2026-08-30T23:12:30.147137+00:00,1806733
yacht,1,0.05,0.25,221,56,4000,1.1195000520691227,-1.8163600163530094,2026-08-30T23:12:30.187414+00:00,1806733
yacht,1,0.05,0.5,221,56,4000,1.1695120898306643,-1.6132345805998989,2026-08-30T23:12:30.225292+00:00,1806733
yacht,1,0.05,0.75,221,56,4000,1.183618473440066,-1.5263490824404735,2026-08-30T23:12:30.270083+00:00,1806733
yacht,1,0.1,0.25,221,56,4000,1.8168759679046962,-2.0086836327291158,2026-08-30T23:12:30.311769+00:00,1806733
yacht,1,0.1,0.5,221,56,4000,1.8131769579504253,-1.8863269945992382,2026-08-30T23:12:30.347998+00:00,1806733
yacht,1,0.1,0.75,221,56,4000,1.8136275562072715,-1.86619408765144,2026-08-30T23:12:30.390508+00:00,1806733
yacht,2,0.005,0.25,221,56,4000,1.251266157173541,-1.7887874320897907,2026-08-30T23:12:30.484453+00:00,1806733
yacht,2,0.005,0.5,221,56,4000,1.258969228844984,-1.5344142201995308,2026-08-30T23:12:30.531784+00:00,1806733
yacht,2,0.005,0.75,221,56,4000,1.2491104677953917,-1.3932859765869903,2026-08-30T23:12:30.576340+00:00,1806733
yacht,2,0.01,0.25,221,56,4000,1.4175227364974161,-1.8137919864949477,2026-08-30T23:12:30.611538+00:00,1806733
yacht,2,0.01,0.5,221,56,4000,1.4118720360761874,-1.5718380848516247,2026-08-30T23:12:30.651652+00:00,1806733
yacht,2,0.01,0.75,221,56,4000,1.4039002718134235,-1.450284635595141,2026-08-30T23:12:30.694227+00:00,1806733
yacht,2,0.05,0.25,221,56,4000,1.9118779436722801,-1.9117183874902466,2026-08-30T23:12:30.733183+00:00,1806733
