config,depth,hidden,dataset,method,seed,n_parameters,median_std_epi_in_range,gap_ratio,rmse_in_range,rmse_extrapolation,ll_extrapolation,picp95_extrapolation
1x20,1,20,sin_homo,mcd,0,61,0.1323178407344374,,0.1577110184655077,1.1319741016404257,-18.516843697050664,0.0225
1x50,1,50,sin_homo,mcd,0,151,0.1198717651431537,,0.1409097697646579,0.8872215313566946,-12.278507884999303,0.105
2x20,2,20,sin_homo,mcd,0,481,0.1051356968449513,,0.1246288640631724,1.0365731694278792,-21.74363228844691,0.0275
2x50,2,50,sin_homo,mcd,0,2701,0.0844437233210536,,0.1240114990677125,1.0152880057166946,-26.09395476680924,0.0225
3x20,3,20,sin_homo,mcd,0,901,0.0942811280425693,,0.1259886986390373,0.9537171658166824,-20.25867041429362,0.09
3x50,3,50,sin_homo,mcd,0,5251,0.0686115678480577,,0.1259865537960737,0.9781531608991466,-31.298885605680983,0.0275
1x20,1,20,sin_homo,map,0,61,0.0,,0.1053263678685199,0.3074624293846574,-3.3430107143663963,0.2775
1x50,1,50,sin_homo,map,0,151,0.0,,0.1033734548622988,0.2144469191735299,-0.91572749736155,0.575
2x20,2,20,sin_homo,map,0,481,0.0,,0.102805558908254,0.4288832676359265,-7.813396303114114,0.1825
2x50,2,50,sin_homo,map,0,2701,0.0,,0.1058013105234079,0.5687411447966755,-14.789677929442268,0.135
3x20,3,20,sin_homo,map,0,901,0.0,,0.1060875235017971,0.6632106986147455,-20.608774978063547,0.125
3x50,3,50,sin_homo,map,0,5251,0.0,,0.104503859036784,0.7939074534548515,-30.13080567276897,0.085
1x20,1,20,sin_homo,laplace,0,61,0.0171941503905995,,0.1053263678685199,0.3074624293846574,-0.3636755983121242,0.9725
1x50,1,50,sin_homo,laplace,0,151,0.0168571802788217,,0.1033734548622988,0.2144469191735299,-0.1735505712515442,0.9725
2x20,2,20,sin_homo,laplace,0,481,0.0196135911126406,,0.102805558908254,0.4288832676359265,-0.4806038421747892,0.98
2x50,2,50,sin_homo,laplace,0,2701,0.0202259104297891,,0.1058013105234079,0.5687411447966755,-0.8372982423164703,0.945
3x20,3,20,sin_homo,laplace,0,901,0.0211716597652666,,0.1060875235017971,0.6632106986147455,-1.816076170344421,0.5775
3x50,3,50,sin_homo,laplace,0,5251,0.0232770201232492,,0.104503859036784,0.7939074534548515,-2.2491297596462303,0.3125
1x20,1,20,sin_homo,ensemble,0,305,0.0135612285738926,,0.1042342584783328,0.2446902146658997,-0.96858372638294,0.575
1x50,1,50,sin_homo,ensemble,0,755,0.0204224617350838,,0.1042692560890133,0.2019245423164035,-0.5229411208529577,0.6375
2x20,2,20,sin_homo,ensemble,0,2405,0.0138230546222821,,0.1033451248450547,0.4702283378129421,-5.163434386486078,0.18
