dataset,method,sigma_rmse
sin_homo,mcd,0.0633262098136419
sin_homo,map,1.3877787807814457e-17
sin_homo,laplace,0.2472430328625636
sin_homo,ensemble,0.0077116922477061
sin_homo,bbb,0.0410471850523034
sin_homo,gp,0.1335489070969397
sin_hetero,mcd,0.159139384898461
sin_hetero,map,0.0724208998775671
sin_hetero,laplace,0.2527789707310549
sin_hetero,ensemble,0.0717067865970044
sin_hetero,bbb,0.118110433742592
sin_hetero,gp,0.1594765631282424
sin_gap,mcd,0.0618480174002229
sin_gap,map,1.3877787807814457e-17
sin_gap,laplace,0.2708845310400478
sin_gap,ensemble,0.014405700900123
sin_gap,bbb,0.0364554245254396
sin_gap,gp,0.1414366957287997
