dataset,method,n_train,epochs,train_time_s,predict_time_ms_per_1k,n_parameters
yacht,mcd,277,2000,5.176027800000156,326.5548387008171,402
yacht,map,277,2000,4.646980400000757,6.248387087966435,402
yacht,laplace,277,2000,5.03093760000047,1398.5290322213382,402
yacht,ensemble,277,2000,23.86772050000036,20.08387098378021,2010
yacht,bbb,277,2000,111.0294001000002,451.4129032618404,803
yacht,gp,277,2000,0.8003903999997419,27.79032260033062,3
energy,mcd,691,1000,5.20348709999962,172.47662336475597,502
energy,map,691,1000,4.7904976999998325,2.7545454515773176,502
energy,laplace,691,1000,5.248737800000527,231.5038960990602,502
energy,ensemble,691,1000,24.073275300001114,9.050649357770642,2510
energy,bbb,691,1000,113.20271660000073,200.105194805958,1003
energy,gp,691,1000,11.798232900000585,24.03636362823936,3
concrete,mcd,927,1000,7.022846899999422,148.17475727168747,502
concrete,map,927,1000,6.326646899999105,2.2718446699108985,502
concrete,laplace,927,1000,6.770297799999753,153.50485436216528,502
concrete,ensemble,927,1000,32.12813449999885,7.668932031945199,2510
concrete,bbb,927,1000,152.25030179999885,155.9407766974809,1003
concrete,gp,927,1000,9.412368100000094,25.406796127745377,3
wine_quality_red,mcd,1439,20,0.2129057999991346,116.89937500705128,652
wine_quality_red,map,1439,20,0.1950156999992032,1.569375001508888,652
wine_quality_red,laplace,1439,20,0.9440128999995068,213.9725000006365,652
wine_quality_red,ensemble,1439,20,0.985461199999918,5.334374998255953,3260
wine_quality_red,bbb,1439,20,4.640367599999081,111.34750000110216,1303
wine_quality_red,gp,1439,20,33.31969980000031,45.54500000040207,3
kin8nm,mcd,7373,1000,51.255861300000106,78.2179487188988,502
kin8nm,map,7373,1000,46.518028700000286,0.6242979250954048,502
kin8nm,laplace,7373,1000,49.14227220000066,222.1142857150224,502
kin8nm,ensemble,7373,1000,274.38384190000033,2.3636141646704867,2510
kin8nm,bbb,7373,1000,1111.390947799999,42.74456654361524,1003
power_plant,mcd,8611,50,2.93583640000179,75.2217345862668,302
power_plant,map,8611,50,2.7009140999998635,0.5614420047451721,302
power_plant,laplace,8611,50,4.032129799999893,222.30334378164136,302
power_plant,ensemble,8611,50,13.563038800000868,1.9988505739782907,1510
power_plant,bbb,8611,50,64.57467250000082,39.10898641563523,603
