dataset,method,variant,dimension,n,gap_leak_fraction_mean,gap_leak_fraction_sem,epi_gap_ratio_mean,epi_gap_ratio_sem,mean_std_epi_gap_in_mean,mean_std_epi_gap_in_sem,mean_std_epi_gap_out_mean,mean_std_epi_gap_out_sem,rmse_gap_in_mean,rmse_gap_in_sem,rmse_gap_out_mean,rmse_gap_out_sem,ll_gap_in_mean,ll_gap_in_sem,ll_gap_out_mean,ll_gap_out_sem,picp95_gap_in_mean,picp95_gap_in_sem,picp95_gap_out_mean,picp95_gap_out_sem,feature_n_distinct,n_train_full,n_removed
energy,mcd,control,0,5,0.0,0.0,1.001920673601088,0.020377039442351648,1.1781470696848606,0.01822749779761896,1.176778426694858,0.016601503111734587,1.102584816387727,0.09961757465046085,1.3534085647631753,0.07359719453043745,-1.783035785607246,0.030741598914432282,-1.8605827489111,0.022895388644837773,1.0,0.0,0.9923850574712644,0.004697638713871208,12,691,varies
energy,mcd,control,1,5,0.0,0.0,1.001920673601088,0.020377039442351648,1.1781470696848606,0.01822749779761896,1.176778426694858,0.016601503111734587,1.102584816387727,0.09961757465046085,1.3534085647631753,0.07359719453043745,-1.783035785607246,0.030741598914432282,-1.8605827489111,0.022895388644837773,1.0,0.0,0.9923850574712644,0.004697638713871208,12,691,varies
energy,mcd,control,2,5,0.25338555212702546,0.002571313292433219,0.9061855689149247,0.017261611376608775,1.099659333275215,0.02145492979660831,1.2137344034939954,0.012862018544807318,1.5560730833433245,0.1283064032211424,1.105158872476415,0.07807389179843628,-1.9269059924198828,0.05024311460421791,-1.7890283466498027,0.02515473809917083,0.9838095238095239,0.010168645954315514,1.0,0.0,7,691,varies
energy,mcd,control,3,5,0.6261874241837866,0.0026477719873418577,1.024230644459852,0.01067934645146095,1.194736996268427,0.017293925378310752,1.1665153798037393,0.012995501173676056,1.4062212434868162,0.18028819783898412,1.2066315771465785,0.04604555764553426,-1.8964646944010197,0.06932117487863804,-1.808249748342028,0.017219501329431307,0.9843076923076923,0.009612614985731268,1.0,0.0,4,691,varies
energy,mcd,control,4,5,1.0,0.0,0.9975297149695933,0.019082634189492062,1.1729286629274964,0.012080554629412647,1.177067584026545,0.01887850134702466,1.2703412230922586,0.05889653460854668,1.299093675736407,0.06326033140553126,-1.8289826825054145,0.019518871769217246,-1.8417834796784476,0.019410697931723973,1.0,0.0,0.9924528301886791,0.004621678759968287,2,691,varies
energy,mcd,control,5,5,0.24847589063851167,0.0030843516391765055,1.0058557550641551,0.010870846824981845,1.1802992486511503,0.021204120333020375,1.1730945413969682,0.009352477521495876,1.2919514366826814,0.08405169846320079,1.2923510668609737,0.057349134379552365,-1.8405904493746525,0.02126516859081774,-1.837712288727855,0.019250111225365223,1.0,0.0,0.9919871794871795,0.004913368498960218,4,691,varies
energy,mcd,control,6,5,0.43368142180873726,0.002289602734819664,0.9894569991918395,0.01607137962057444,1.1676061597651282,0.025073344494373654,1.1797246766953038,0.009544746424681769,1.3147922828733942,0.1546369355055831,1.2769599354863999,0.03392791002330766,-1.8558994352352092,0.05248905916963253,-1.832178427458936,0.016519867806626457,0.9833043478260869,0.010238738107502626,1.0,0.0,4,691,varies
energy,mcd,control,7,5,0.3417257718817179,0.0026920748843153094,0.9878923379937887,0.020408519560109747,1.165887250059344,0.02793164958310422,1.1799576705298502,0.00918719311964162,1.2315587699443362,0.10398791478458322,1.3118861891448799,0.046671929387865886,-1.8193540929837198,0.033047163611104186,-1.8456479892530981,0.013715319984192188,0.9923076923076923,0.0076923076923076875,0.9962264150943396,0.003773584905660398,6,691,varies
energy,mcd,gap,0,20,0.0,0.0,1.0483740705423092,0.007977090859768153,0.8584188859388803,0.00811323203383423,0.8188314710860582,0.004777001108338244,9.059969003376555,0.2207991489623088,0.8306565417748775,0.025662313427550328,-22.70917890390742,0.9434345402990112,-1.4211737844735393,0.01214816878337644,0.06276791840186302,0.017736558834552753,0.9846201896065911,0.0032308422818680734,12,691,varies
energy,mcd,gap,1,20,0.0,0.0,1.0483740705423092,0.007977090859768153,0.8584188859388803,0.00811323203383423,0.8188314710860582,0.004777001108338244,9.059969003376555,0.2207991489623088,0.8306565417748775,0.025662313427550328,-22.70917890390742,0.9434345402990112,-1.4211737844735393,0.01214816878337644,0.06276791840186302,0.017736558834552753,0.9846201896065911,0.0032308422818680734,12,691,varies
energy,mcd,gap,2,20,0.2504690265667931,0.0011220328146099735,0.912130478884331,0.0059508278543970216,0.8578859675711676,0.007553963427506281,0.9404980737873327,0.00520319201664311,4.873245464069975,0.1396647289280558,0.9260330847144136,0.032717536989032445,-6.759612761683873,0.2999894787416022,-1.5481304571102386,0.013644321785731836,0.5168102882240118,0.02556683798493012,0.9867921102948998,0.004317131285590949,7,691,varies
energy,mcd,gap,3,20,0.6270189023635011,0.0012869442322245407,1.0328321183240416,0.007490038071545652,1.0492370498709997,0.010467053280970513,1.016163098787544,0.008951479829904227,1.9289159051240994,0.08318184526390196,1.3913659497844573,0.05145610489061661,-2.1181229743940535,0.049162641824634146,-1.8349226697146424,0.02130912942093862,0.8924474347491589,0.01527264528282646,0.9625708813423826,0.0066172923721705265,4,691,varies
energy,mcd,gap,4,20,1.0,0.0,0.9954875198852315,0.007391953848296613,1.181947357988278,0.0103817906405967,1.1876510815046302,0.008502918120815925,1.304722028540098,0.06281333052238706,1.2696455857765574,0.03684873453977468,-1.8518252212165742,0.022358676094462935,-1.8345391968212836,0.012852176330566801,0.9901699982052318,0.004566520698057699,0.9944158211213351,0.002397135791034476,2,691,varies
energy,mcd,gap,5,20,0.24959056677869254,0.0013250570565973853,1.0025127524080266,0.007179308296116892,1.2066057302219473,0.011313879105827863,1.2034812840099456,0.00629200478047931,1.2955715463605357,0.05070323628824224,1.2782361096560821,0.03589930221339207,-1.8492707291055634,0.0173481566630858,-1.8394284546602329,0.012127242037334954,0.9981481481481481,0.0018518518518518606,0.9909954141926732,0.003018294661352287,4,691,varies
energy,mcd,gap,6,20,0.4385865088557077,0.001422983462656437,1.0072180933926644,0.00814388040897461,1.1929386846356338,0.008501721142546804,1.1850303452856532,0.007743147798938535,1.328047438884899,0.0717493473145329,1.2216604774580124,0.031755316200257205,-1.85830091912444,0.02631742664295878,-1.8175738564113337,0.010592589368210822,0.9759602699778016,0.00823853487350186,0.9981105169340463,0.0013014598076586856,4,691,varies
energy,mcd,gap,7,20,0.34386264900974556,0.001274196316371701,0.9855666245448436,0.008028862907000306,1.1902547977129394,0.008326500401485094,1.2083891459510547,0.00810154185472916,1.1848379862119263,0.04149667812471918,1.3077991599623653,0.03974785815126548,-1.8108890495346608,0.011032581514206224,-1.8523652677271278,0.013021475218908729,0.9979166666666666,0.0020833333333333316,0.9933055152394775,0.0031855240611195993,6,691,varies
energy,map,control,0,5,0.0,0.0,,,0.0,0.0,0.0,0.0,0.6224350051325275,0.04155799147432519,0.5207584910343867,0.024770824151862703,-1.2036245300853285,0.16965290056321222,-0.8347112264389726,0.07016456888423851,0.8352354744804835,0.014768849912476926,0.8804085140687576,0.01009693961292121,12,691,varies
energy,map,control,1,5,0.0,0.0,,,0.0,0.0,0.0,0.0,0.6224350051325275,0.04155799147432519,0.5207584910343867,0.024770824151862703,-1.2036245300853285,0.16965290056321222,-0.8347112264389726,0.07016456888423851,0.8352354744804835,0.014768849912476926,0.8804085140687576,0.01009693961292121,12,691,varies
energy,map,control,2,5,0.25338555212702546,0.002571313292433219,,,0.0,0.0,0.0,0.0,0.6194799632979423,0.02226423436817645,0.5277136913898725,0.029076847796552265,-1.176485835782215,0.10199364411627307,-0.8609807054536758,0.08671995694451169,0.8075384615384615,0.04397444120497656,0.8923023077000927,0.005912327292682235,7,691,varies
energy,map,control,3,5,0.6261874241837866,0.0026477719873418577,,,0.0,0.0,0.0,0.0,0.5482488690011114,0.02741960696419858,0.5660405225006612,0.028674622625310123,-0.9451215058514391,0.11471585970113898,-0.9782282698191276,0.08417977813490762,0.8534641909814324,0.030197050716276715,0.8694570135746605,0.013372255046735091,4,691,varies
energy,map,control,4,5,1.0,0.0,,,0.0,0.0,0.0,0.0,0.5415762205573674,0.045720870113146184,0.5655905040011849,0.026140264768399153,-0.9144428780721009,0.133048943098046,-0.9884971307722275,0.09517920755797564,0.863286808976464,0.02082492709971508,0.8666109613656783,0.014847934354033398,2,691,varies
energy,map,control,5,5,0.24847589063851167,0.0030843516391765055,,,0.0,0.0,0.0,0.0,0.4809750154000317,0.028586273512721045,0.596073798027602,0.027638796595986122,-0.7241966607750095,0.08339033125375575,-1.0894768986730063,0.09409965566507814,0.9053513957307061,0.025542016067373313,0.8438039947473909,0.01396876636703748,4,691,varies
energy,map,control,6,5,0.43368142180873726,0.002289602734819664,,,0.0,0.0,0.0,0.0,0.5129586287858939,0.03409214936395461,0.5791870845148448,0.030944916335953837,-0.8311071356095662,0.10654637009793493,-1.0287601553753993,0.10025459670455425,0.8699219910524258,0.03775867800944078,0.8620729068628228,0.01749402169388042,4,691,varies
energy,map,control,7,5,0.3417257718817179,0.0026920748843153094,,,0.0,0.0,0.0,0.0,0.5138403257721695,0.05816214331715303,0.5736150247640845,0.04793223052472977,-0.8496901462475375,0.19224127450028622,-1.031189867510047,0.16457773808316348,0.878030636030636,0.05456731025217189,0.8563799479417048,0.029714254071080436,6,691,varies
energy,map,gap,0,20,0.0,0.0,,,0.0,0.0,0.0,0.0,15.960383813144967,0.4229706342051332,0.3989369525504555,0.01278379380105952,-1292.8744709063453,79.8355120157712,-0.5820765876271978,0.058073405815840876,0.0,0.0,0.8839742143263104,0.010615741109378105,12,691,varies
energy,map,gap,1,20,0.0,0.0,,,0.0,0.0,0.0,0.0,15.960383813144967,0.4229706342051332,0.3989369525504555,0.01278379380105952,-1292.8744709063453,79.8355120157712,-0.5820765876271978,0.058073405815840876,0.0,0.0,0.8839742143263104,0.010615741109378105,12,691,varies
energy,map,gap,2,20,0.2504690265667931,0.0011220328146099735,,,0.0,0.0,0.0,0.0,4.632138390369218,0.14773200899107636,0.533619670504377,0.024457360617048344,-68.61392731034184,4.591797443193169,-0.9450241740644231,0.09571907876783517,0.2623497139601839,0.0185799573377288,0.8828423909596339,0.012582408149902366,7,691,varies
