dataset,method,T,n,mpiw95_mean,mpiw95_sem,picp95_mean,picp95_sem,ll_mean,ll_sem,rmse_mean,rmse_sem,mean_std_epistemic_mean,mean_std_epistemic_sem,mean_var_epistemic_mean,mean_var_epistemic_sem
sin_homo,mcd,2,10,0.9243704388121774,0.0015238636569852213,0.6907,0.00239002556936577,-2.682683883277292,0.026856076829813908,0.5783081025847469,0.0011941156851146793,0.1111525971804532,0.0006092186571948691,0.02110468318515861,0.00024066471480081232
sin_homo,mcd,5,10,0.9421926624719333,0.0016308323061857788,0.6998,0.002602562839459087,-2.2384854339996374,0.012916959051279646,0.5728352034037238,0.0007306416296998143,0.1328727884415158,0.0006157625766392801,0.02134400797027444,0.0002323760841671216
sin_homo,mcd,10,10,0.9479150503935421,0.0012254195679478766,0.6997,0.0015351438586225952,-2.096807429337194,0.013899640895042985,0.5711009982755949,0.0005407678714581943,0.13838275562370775,0.00047902459546937464,0.021563394662861318,0.00016688545515578277
sin_homo,mcd,20,10,0.9505076427667376,0.00057907257226343,0.7007,0.0017829438827088456,-2.0298830587288803,0.009227571696356214,0.570215271252668,0.00034602827988242265,0.14090238986612902,0.00023121662323333678,0.02163463759754216,7.720380375068264e-05
sin_homo,mcd,50,10,0.9519392035194164,0.00034531275505436996,0.701,0.001201850425154664,-1.9851981147345423,0.005755839271759677,0.5699185310413514,0.0002759355642206994,0.14239933422532927,0.00014323306944137194,0.02165387834549562,4.4809976542439344e-05
sin_homo,mcd,100,10,0.9519523851328462,0.0002873190598791872,0.7005,0.0014395215254459468,-1.9782456693448087,0.002848627591224734,0.5699057262372031,0.00011602746707350596,0.14264522056027068,0.00011997223976584754,0.021608713255676988,3.656617685552033e-05
sin_homo,mcd,200,10,0.9522329913616661,0.00016477797813203423,0.6994999999999999,0.0008975274678557513,-1.9717378385513906,0.003139211269244496,0.5699761237377076,0.00011464976935212993,0.1428772187260742,6.522034426696893e-05,0.02162129244747888,2.133087776970101e-05
sin_homo,mcd,500,10,0.9522800651615799,7.03354757730454e-05,0.6971999999999999,0.0006960204339273706,-1.9675748843442207,0.0014925790759197052,0.5701289974497665,5.835581713800671e-05,0.14297932115415876,2.774467696505385e-05,0.02161235872453927,9.12865536542872e-06
sin_homo,bbb,2,10,0.8145699642680215,0.023767893699752768,0.67,0.007862710869809612,-2.76557958952029,0.27183370248280087,0.5038124675792066,0.011665666096343277,0.11530144126631355,0.009866269418833536,0.01873383451416172,0.0028109258097770576
sin_homo,bbb,5,10,0.8171159955101231,0.02248920926082198,0.6688000000000001,0.004205287676776037,-2.4386163918627393,0.09854042204924397,0.5182415637156408,0.004916342955980245,0.12673744406949145,0.008486928056340892,0.01827482750811975,0.002769249648053962
sin_homo,bbb,10,10,0.8334164624761025,0.023705438240463894,0.6799999999999999,0.005198290317231438,-2.104593448266278,0.1444566387564447,0.5005012186809547,0.005219470808963422,0.13348960583740563,0.008262424834873182,0.02029020345216738,0.0030829088193107825
sin_homo,bbb,20,10,0.8283905006125794,0.012379650795927765,0.6789000000000001,0.0022133433734712,-2.093164730637522,0.09418216165024706,0.5040723363144999,0.004112422554742648,0.1330942320208696,0.004741650136246753,0.01914448795176622,0.001434693347776254
sin_homo,bbb,50,10,0.8215044353464336,0.004946897452880977,0.6765000000000001,0.0012583057392117926,-2.126494037484588,0.04326193309200513,0.5034299375869842,0.002859696476821866,0.1311766292485244,0.001823900550425234,0.01820563482702479,0.000587946254395877
sin_homo,bbb,100,10,0.8227312367058467,0.004566012559879864,0.6787000000000001,0.0011836853936376477,-2.0940466838367935,0.028576816099294328,0.49839201628939456,0.00233575032457841,0.13198954617242975,0.0017325851464273705,0.01827980630291995,0.0005236692680930365
sin_homo,bbb,200,10,0.8176869016416871,0.0031055652370336664,0.6786000000000001,0.0007774602526460406,-2.1120254699216088,0.018835165388255467,0.4958073965193477,0.0013156395711893898,0.13007585464171784,0.001198942590423583,0.01769979322585366,0.0003504483697277992
sin_homo,bbb,500,10,0.8133458072916719,0.002475562552087004,0.6787000000000001,0.0005174724898753346,-2.1442352290546745,0.01482590018518866,0.495695245419007,0.0009120673476575172,0.12830239491104706,0.0009545231870818554,0.01722689284135921,0.00027791386496883296
sin_gap,mcd,2,10,0.9647395674888875,0.0015455848419330914,0.7211,0.0016696639715157603,-2.01973111438413,0.013535525071548237,0.5395508213432973,0.0010339787982906708,0.11090822012568599,0.0007567198888055035,0.02049264062464087,0.0002429605201181063
sin_gap,mcd,5,10,0.9784384826993049,0.0013258881393246956,0.731,0.0021807236311728187,-1.7334912895113799,0.008129875343179875,0.5336774303935136,0.0007222894584526154,0.13121509142616672,0.0005799813195077512,0.02050938323229138,0.00018716161711344515
sin_gap,mcd,10,10,0.9844471011430533,0.0008847351261220058,0.7346999999999999,0.0013169830843425619,-1.6363916733498691,0.008031329223953,0.5317457645537275,0.0005637573471605974,0.13704021328654753,0.00037844963886745237,0.02087394371674594,0.00012136005133717204
sin_gap,mcd,20,10,0.9868366690012149,0.000530894800845432,0.737,0.002108185106778921,-1.5895947679885973,0.005189566404332,0.5307372336699334,0.0004078340228407936,0.1395402375883817,0.00021687229258093244,0.02097530430970253,7.380954825897386e-05
sin_gap,mcd,50,10,0.9875303292386365,0.0005046493344155357,0.7373999999999999,0.0011372481406154663,-1.561795821758604,0.004841575555732684,0.5301834653399753,0.00034338297584261227,0.1406765673277572,0.00022111058082724218,0.020937845186271432,6.74956027198695e-05
sin_gap,mcd,100,10,0.9876730605596883,0.0003137289658591402,0.738,0.0007453559924999305,-1.5557371024492723,0.0028817328897627332,0.5300799206531394,0.00015796516312980584,0.14099558633025744,0.00013421966810120794,0.020916649101855513,4.1917705906775394e-05
sin_gap,mcd,200,10,0.9879868650793414,0.00021261687961746984,0.7373999999999999,0.0007023769168568499,-1.5513388358239517,0.0021420578619069527,0.5301575545353834,0.00012475748558129915,0.14125517897324072,9.440506005458728e-05,0.02093833228183061,2.793023968685691e-05
sin_gap,mcd,500,10,0.988218427330804,0.00012943696607434598,0.7379,0.0006046119049072356,-1.5485415388645078,0.0007359187525321328,0.5303285465215717,6.769955604315174e-05,0.14143454701951588,5.74960222788624e-05,0.02095728489166279,1.6923137311026577e-05
sin_gap,bbb,2,10,0.7473493655249451,0.03580469399751577,0.6222,0.009340235543068492,-3.3106430700610003,0.24690123308593545,0.5165501691802875,0.009062026136145512,0.08278849094138924,0.016203387702338114,0.01105372830196868,0.004141432810507559
sin_gap,bbb,5,10,0.806329633916213,0.020065333322257326,0.6425,0.008663140308225426,-2.619510848716874,0.13440906027546642,0.5198222699239732,0.0064346605467063426,0.11911036931049898,0.008758661903676088,0.01653277586340543,0.002223010672316156
sin_gap,bbb,10,10,0.8327443602152759,0.013743019880613378,0.6582000000000001,0.0065111869544312445,-2.2191135130599067,0.12697039969539775,0.5047927596853401,0.005369474927970353,0.13198306399363538,0.005690452848521263,0.01929535266904773,0.001576662746790325
sin_gap,bbb,20,10,0.8367140624112993,0.005759115583708576,0.6626000000000001,0.00407485514398297,-2.213212047645913,0.07765261193722128,0.5037270867887449,0.005281111338472369,0.13453619203826636,0.002600698983421314,0.01954309161198359,0.0006091983049283896
sin_gap,bbb,50,10,0.831323661573939,0.004394991608170488,0.6635000000000001,0.002072304138982609,-2.2346228337642087,0.043656864767799605,0.5056619628814046,0.003112887380271174,0.1337930536498509,0.001879966928301699,0.018719528120216312,0.00047344614735579297
sin_gap,bbb,100,10,0.8300301325631685,0.003026077875396581,0.6647000000000001,0.0008569973421454967,-2.202972239922267,0.022429847034743076,0.5022222171281612,0.002031023318975322,0.13349902514789852,0.0012366830434806808,0.01854073452028388,0.0003330392606085187
sin_gap,bbb,200,10,0.8272922589026684,0.0034901013487632455,0.6637000000000001,0.0010754843869934462,-2.24387614275746,0.026827593102531338,0.500539768089191,0.0013660822838827476,0.13218319395402378,0.0014062255031804922,0.018282494212876192,0.0003873792683882905
sin_gap,bbb,500,10,0.8259644336768203,0.0018957642328136554,0.6646000000000001,0.00040000000000000034,-2.255604072561371,0.011141973851333987,0.49978199961908043,0.0009089911536592582,0.1315846579075321,0.0007839521157422258,0.018142430170498068,0.00020546963206660365
