dataset,method,activation,n,n_parameters_mean,n_parameters_sem,mean_std_epi_in_range_mean,mean_std_epi_in_range_sem,mean_std_epi_extrapolation_mean,mean_std_epi_extrapolation_sem,epi_extrap_ratio_mean,epi_extrap_ratio_sem,std_epi_at_edge_mean,std_epi_at_edge_sem,mpiw95_in_range_mean,mpiw95_in_range_sem,mpiw95_extrapolation_mean,mpiw95_extrapolation_sem,picp95_in_range_mean,picp95_in_range_sem,picp95_extrapolation_mean,picp95_extrapolation_sem,rmse_in_range_mean,rmse_in_range_sem,ll_in_range_mean,ll_in_range_sem
sin_homo,mcd,relu,3,152.0,0.0,0.1106771429645763,0.004364388552241046,0.4087202559230813,0.07508459148201502,3.6651222423861896,0.5961396731133521,0.5842490031650165,0.2691374072661503,0.9432670276397482,0.06575597254830581,1.869108452011572,0.1841133508171545,0.9916666666666667,0.006009252125773321,0.8341666666666666,0.16583333333333336,0.1510448040972536,0.022846460457436487,0.30658851778170493,0.11217137848535783
sin_homo,mcd,tanh,3,152.0,0.0,0.12437298427843836,0.0015501079701385426,0.16581885978206304,0.0005188247591109874,1.3335754277424865,0.0137720727592956,0.17707891456440591,0.007605728168217932,0.9247491610591333,0.012872380868932526,1.0138449574308221,0.010433567039113965,0.9944444444444445,0.0014698618394803202,0.3466666666666667,0.05343090033970147,0.14886801145196385,0.0023335021284632655,0.3378693920768067,0.013305969576390618
sin_homo,map,relu,3,152.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.3855493284890268,0.015833583420163593,0.3855493284890268,0.015833583420163538,0.9411111111111111,0.00949333749479725,0.39083333333333337,0.05208833309335636,0.10179585989090885,0.001333622864643403,0.8589778074107466,0.014462622750305455
sin_homo,map,tanh,3,152.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.4141523747290221,0.026052071686054896,0.4141523747290221,0.026052071686054834,0.9505555555555555,0.012260042494841066,0.5525,0.02919046648022832,0.10406540059114407,0.0009856419558036057,0.8354824301254101,0.007976832456983005
sin_homo,laplace,relu,3,152.0,0.0,0.030367493340278,0.0025283157284240443,0.3268154751112254,0.04822706223855082,11.188767497705173,2.5628744476705934,0.2738263617813773,0.12642828797375089,0.4118534728223993,0.014891036351193732,1.379670609958423,0.17305127108059626,0.9477777777777777,0.010555555555555584,0.85,0.07891187067440068,0.10179585989090885,0.001333622864643403,0.8549080214519907,0.011387833271432727
sin_homo,laplace,tanh,3,152.0,0.0,0.018239489685843567,0.0010277557268619773,0.3338095425544598,0.012696964436150843,18.35244348339935,0.629007964307869,0.4802678433151186,0.011269890204698905,0.42047459026573836,0.026370486140174093,1.417804596207614,0.057869514585095205,0.9522222222222223,0.012260042494841087,0.9566666666666667,0.0030046260628866658,0.10406540059114407,0.0009856419558036057,0.8357728200293574,0.007809585107195816
sin_homo,ensemble,relu,3,760.0,0.0,0.012590141962210833,0.0026960555250961694,0.0520217276218822,0.019396205549972883,3.8797466911493204,0.5931597482235457,0.0701908271191466,0.03047835582041452,0.3916563736862477,0.013127191435464643,0.4587078119888473,0.04405382723105978,0.9422222222222222,0.00728604280478006,0.4458333333333333,0.10737719083264897,0.10191824110465918,0.0010040226173432952,0.8609360875371891,0.01000975575903305
sin_homo,ensemble,tanh,3,760.0,0.0,0.0302560035465783,0.006229163187818426,0.053297277768914963,0.004794156034959338,1.8476828350233847,0.21937515268413246,0.07099623550621141,0.003297831424069799,0.4322439884149834,0.01680928961641993,0.47045013837437105,0.014342886196887457,0.9594444444444444,0.01059932446018831,0.5758333333333333,0.034197140881138684,0.10313482007147368,0.000967808385569281,0.8433748580646502,0.005546812736684849
sin_homo,bbb,relu,3,303.0,0.0,0.07826458425239673,0.008744938107460373,0.9742498461566539,0.0876393900419334,12.52206445327304,0.3887968934347024,0.14051293777675414,0.014024849096827456,0.5957783777605622,0.02948346640873267,3.9676175365680297,0.34554935228807127,0.9911111111111112,0.0033793125168323926,0.8183333333333334,0.02980259123707943,0.10456321574121503,0.0011479645940741647,0.7271047528917052,0.019596974360032614
sin_homo,bbb,tanh,3,303.0,0.0,0.14982039727557997,0.012457904480995999,0.1637425296157227,0.011126337557953617,1.095755168044608,0.020020144958842623,0.2045106429007152,0.005329414996975381,0.9558836987026229,0.08573339279798793,0.9936133041107409,0.08007242062294744,1.0,0.0,0.3325,0.06276610019216851,0.1209104659947493,0.0034577534341840195,0.37482465722640107,0.07181166368420015
