dataset,method,metric,n,own_value_mean,own_value_sem,difference_mean,difference_sem,published_value
yacht,mcd,ll,20,-2.3625509924361126,0.020943237132849107,-1.1124026955793311,0.01634115926933766,varies
yacht,mcd,rmse,20,1.6967946788682515,0.12888825775422696,1.0305198910108049,0.10981452696330901,varies
energy,mcd,ll,20,-1.781506752663494,0.01256823672948892,-0.5699897401204401,0.0109206709608644,varies
energy,mcd,rmse,20,1.1904043015296855,0.03563241020592082,0.651537658361497,0.03102484494480107,varies
concrete,mcd,ll,20,-3.1676566766386474,0.0133869389465118,-0.23100079787826408,0.0175490209331846,varies
concrete,mcd,rmse,20,5.660462418578285,0.09803081837473891,0.8340020909335895,0.11788877435632852,varies
wine_quality_red,mcd,ll,20,-0.9639401959175629,0.013306536777359556,-0.03585050878324296,0.0074164446767416,varies
wine_quality_red,mcd,rmse,20,0.6332930201572837,0.00826165240258144,0.011484015104132678,0.0041675739466622294,varies
kin8nm,mcd,ll,20,0.8852993859120794,0.004344653883445414,-0.25112672161919275,0.0077207022896746795,varies
kin8nm,mcd,rmse,20,0.09303561086656789,0.000744287342282592,0.014136984774567285,0.0009295726691172809,varies
power_plant,mcd,ll,20,-2.8775530780604894,0.0064417466189679645,-0.06976432827486731,0.006404279397774964,varies
power_plant,mcd,rmse,20,4.284299286622071,0.031977148830142556,0.27007363763761977,0.01802463292239392,varies
