dataset,method,n_train_full,steps_per_epoch_full,chosen_epochs,total_steps_full,best_epochs,best_val_nll,chosen_val_nll,excess_nats,n_seeds,run_aborted,max_epoch_measured,chosen_at_measured_edge,epoch_ceiling,better_above_ceiling
yacht,mcd,277,3,2000,6000,2000,-0.305991392419834,-0.305991392419834,0.0,3,False,2000,True,2000.0,True
yacht,map,277,3,500,1500,500,-1.0046538271459955,-1.0046538271459955,0.0,3,False,2000,False,2000.0,False
yacht,bbb,277,3,2000,6000,2000,-1.3112143851579905,-1.3112143851579905,0.0,1,False,2000,False,2000.0,False
energy,mcd,691,6,1000,6000,1000,-0.5222698281711939,-0.5222698281711939,0.0,3,False,2000,False,,False
energy,map,691,6,1000,6000,1000,-1.6121830177994478,-1.6121830177994478,0.0,3,False,2000,False,,False
energy,bbb,691,6,1000,6000,1000,-1.5745907895595093,-1.5745907895595093,0.0,1,False,2000,False,,False
concrete,mcd,927,8,1000,8000,1000,0.2576331134125397,0.2576331134125397,0.0,3,False,2000,False,,False
concrete,map,927,8,100,800,100,0.3406536550856445,0.3406536550856445,0.0,3,False,2000,False,,False
concrete,bbb,927,8,200,1600,200,0.2629592214376994,0.2629592214376994,0.0,1,False,2000,False,,False
wine_quality_red,mcd,1439,12,10,120,100,1.1978579580996334,1.2121707344814796,0.0143127763818462,3,False,2000,False,,False
wine_quality_red,map,1439,12,5,60,20,1.2119275986849731,1.2266068726532058,0.0146792739682326,3,False,2000,False,,False
wine_quality_red,bbb,1439,12,20,240,50,1.197653399404791,1.2051018846902113,0.0074484852854201,1,False,2000,False,,False
kin8nm,mcd,7373,58,500,29000,2000,0.4308516524060439,0.4500542657485216,0.0192026133424776,3,False,2000,False,,False
kin8nm,map,7373,58,200,11600,2000,0.1441278051197103,0.1563381220687674,0.0122103169490571,3,False,2000,False,,False
kin8nm,bbb,7373,58,1000,58000,2000,0.2112661927442219,0.2230110381999753,0.0117448454557534,1,False,2000,False,,False
power_plant,mcd,8611,68,10,680,100,-0.0027578524255067,0.0135752001056087,0.0163330525311154,3,False,2000,False,,False
power_plant,map,8611,68,50,3400,1000,-0.039278494314538,-0.0215362425754936,0.0177422517390444,3,False,2000,False,,False
power_plant,bbb,8611,68,50,3400,200,-0.0055956495773639,0.0094484740494761,0.01504412362684,1,True,500,False,,False
