dataset,method,split_index,epochs,torch_threads,rmse,ll,picp95,mpiw95,mean_var_epistemic,timestamp,git_commit
yacht,map,0,2000,1,0.7144540613947936,-1.2464021371312712,0.8709677419354839,1.9604881520330664,0.0,2026-08-31T08:41:55.945397+00:00,1806733
yacht,map,0,2000,8,0.7144540613947936,-1.2464021371312712,0.8709677419354839,1.9604881520330664,0.0,2026-08-31T08:42:15.181203+00:00,1806733
yacht,mcd,0,2000,1,1.3889381212903749,-2.316863078406825,1.0,14.456731883794589,5.790537739774823,2026-08-31T08:42:15.214082+00:00,1806733
yacht,mcd,0,2000,8,1.3889381212903749,-2.316863078406825,1.0,14.456731883794589,5.790537739774823,2026-08-31T08:42:19.969073+00:00,1806733
yacht,laplace,0,2000,1,0.7144540613947936,-1.0032537724650847,0.9354838709677419,2.155936092885971,0.05369577760678143,2026-08-31T08:42:20.004619+00:00,1806733
yacht,laplace,0,2000,8,0.7144540613947936,-1.0032537724649975,0.9354838709677419,2.1559360928856446,0.05369577760669146,2026-08-31T08:42:23.282461+00:00,1806733
yacht,ensemble,0,2000,1,0.5411465638902783,-0.7467981224120083,0.967741935483871,2.6223349927758037,0.19684275815127664,2026-08-31T08:43:16.547009+00:00,1806733
yacht,ensemble,0,2000,8,0.5411465638902783,-0.7467981224120083,0.967741935483871,2.6223349927758037,0.19684275815127664,2026-08-31T08:46:02.613899+00:00,1806733
yacht,bbb,0,2000,1,1.0093937131576474,-1.5751238777714458,0.967741935483871,6.621143388706845,1.1860564508436793,2026-08-31T08:50:32.507082+00:00,1806733
yacht,bbb,0,2000,8,1.0093937131576474,-1.5751238777714458,0.967741935483871,6.621143388706845,1.1860564508436793,2026-08-31T09:07:44.032022+00:00,1806733
concrete,map,0,1000,1,5.482994820464825,-3.924802101067568,0.8058252427184466,10.75594708657725,0.0,2026-08-31T09:07:44.069594+00:00,1806733
concrete,map,0,1000,8,5.482994884373936,-3.9248022323703533,0.8058252427184466,10.755946781965752,0.0,2026-08-31T09:07:44.103253+00:00,1806733
concrete,mcd,0,1000,1,5.889535143199403,-3.1966333768176884,0.970873786407767,24.851147844973944,7.894153459316444,2026-08-31T09:07:44.136803+00:00,1806733
concrete,mcd,0,1000,8,5.889527485309342,-3.1966324072987504,0.970873786407767,24.851152079655787,7.894148859837886,2026-08-31T09:07:44.171889+00:00,1806733
concrete,laplace,0,1000,1,5.482994820464825,-3.240567830116841,0.8543689320388349,13.369776124782936,4.5262259443187745,2026-08-31T09:07:44.206282+00:00,1806733
concrete,laplace,0,1000,8,5.482994884373936,-3.2405681102378328,0.8543689320388349,13.369782955986686,4.526240058705114,2026-08-31T09:07:44.245320+00:00,1806733
concrete,ensemble,0,1000,1,4.98203963791167,-2.9935032276886613,0.8932038834951457,15.549214736182265,6.790815534215513,2026-08-31T09:07:44.280275+00:00,1806733
concrete,ensemble,0,1000,8,4.981365049760167,-2.994626279033823,0.8932038834951457,15.532781012870077,6.762012517072433,2026-08-31T09:07:44.314018+00:00,1806733
concrete,bbb,0,1000,1,5.497952848423596,-3.1539267943653972,0.9223300970873787,18.318941123462142,3.4229262963814002,2026-08-31T09:07:44.347652+00:00,1806733
concrete,bbb,0,1000,8,5.497952848423569,-3.153926794365388,0.9223300970873787,18.318941123462203,3.422926296381417,2026-08-31T09:10:56.621206+00:00,1806733
kin8nm,map,0,1000,1,0.0732588819875067,1.1887409203135588,0.9230769230769231,0.26615952850761415,0.0,2026-08-31T09:10:56.656495+00:00,1806733
kin8nm,map,0,1000,8,0.07320181068400226,1.1896977982160297,0.9218559218559218,0.26624229964349283,0.0,2026-08-31T09:10:56.691422+00:00,1806733
kin8nm,mcd,0,1000,1,0.09389073420370374,0.8810995550570071,0.9829059829059829,0.48868341190501613,0.0038965815276505657,2026-08-31T09:10:56.726243+00:00,1806733
kin8nm,mcd,0,1000,8,0.09389073420369978,0.8810995550570331,0.9829059829059829,0.4886834119050127,0.003896581527649713,2026-08-31T09:10:56.760326+00:00,1806733
kin8nm,laplace,0,1000,1,0.0732588819875067,1.1935867055329574,0.9267399267399268,0.27356824984643807,0.0002610233136023246,2026-08-31T09:10:56.796470+00:00,1806733
kin8nm,laplace,0,1000,8,0.07320181068400226,1.1944638159986134,0.9267399267399268,0.273634163657452,0.0002604976136897209,2026-08-31T09:10:56.832787+00:00,1806733
kin8nm,ensemble,0,1000,1,0.06851530090378898,1.251763826211135,0.9743589743589743,0.3047455513242879,0.001073665465171793,2026-08-31T09:10:56.869923+00:00,1806733
kin8nm,ensemble,0,1000,8,0.06838704276102114,1.2548586990552146,0.9706959706959707,0.30428749529243354,0.001060761318325257,2026-08-31T09:15:05.098765+00:00,1806733
kin8nm,bbb,0,1000,1,0.08441678455550126,1.0537411013534526,0.960927960927961,0.3350540699867154,0.0004302275116785321,2026-08-31T09:46:18.162062+00:00,1806733
kin8nm,bbb,0,1000,8,0.08441678455550082,1.0537411013534579,0.960927960927961,0.3350540699867149,0.0004302275116785113,2026-08-31T09:52:06.508017+00:00,1806733
