dataset,method,epochs,seed,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,train_time_s,timestamp,git_commit
yacht,map,50,0,222,55,277,128,2,100,0.7083456812979029,-0.7083456812979029,0.43816295623084683,0.41165970537116714,0.0,0.1708961999975145,2026-08-26T23:22:27.912272+00:00,1806733
yacht,map,50,1,222,55,277,128,2,100,0.5510275343984447,-0.5510275343984447,0.3203746234170055,0.3603618865807727,0.0,0.15111169998999685,2026-08-26T23:22:28.088817+00:00,1806733
yacht,map,50,2,222,55,277,128,2,100,0.5749492216985264,-0.5749492216985264,0.33517612119097356,0.3714062453491072,0.0,0.16679689998272806,2026-08-26T23:22:28.278954+00:00,1806733
yacht,map,100,0,222,55,277,128,2,200,-0.08565729486834919,0.08565729486834919,0.13206490062973938,0.11526722833168151,0.0,0.33796549995895475,2026-08-26T23:22:28.638222+00:00,1806733
yacht,map,100,1,222,55,277,128,2,200,-0.1619874776606947,0.1619874776606947,0.11881891079946043,0.09994804881613482,0.0,0.3316841999767348,2026-08-26T23:22:28.992997+00:00,1806733
yacht,map,100,2,222,55,277,128,2,200,-0.10303279707839812,0.10303279707839812,0.13759413896035785,0.10883854407799563,0.0,0.35187509993556887,2026-08-26T23:22:29.366907+00:00,1806733
yacht,map,200,0,222,55,277,128,2,400,-0.8903222568504514,0.8903222568504514,0.09814842494132552,0.012094249668508715,0.0,0.6783617999171838,2026-08-26T23:22:30.067614+00:00,1806733
yacht,map,200,1,222,55,277,128,2,400,-0.9480975207198403,0.9480975207198403,0.0895008627753513,0.012746051263743955,0.0,0.6471210999879986,2026-08-26T23:22:30.736715+00:00,1806733
yacht,map,200,2,222,55,277,128,2,400,-1.0320814559216085,1.0320814559216085,0.07761822444075447,0.012452218534975143,0.0,0.6977414999855682,2026-08-26T23:22:31.456690+00:00,1806733
yacht,map,500,0,222,55,277,128,2,1000,-1.4529741563627157,1.4529741563627157,0.05580094601118076,0.002478752176666358,0.0,1.612973800045438,2026-08-26T23:22:33.091442+00:00,1806733
yacht,map,500,1,222,55,277,128,2,1000,-1.271707171918766,1.271707171918766,0.06334332987962572,0.002478752176666358,0.0,1.655176299973391,2026-08-26T23:22:34.769261+00:00,1806733
yacht,map,500,2,222,55,277,128,2,1000,-1.3455299716926468,1.3455299716926468,0.060385433582817484,0.002478752176666358,0.0,1.624640400055796,2026-08-26T23:22:36.415126+00:00,1806733
yacht,map,1000,0,222,55,277,128,2,2000,-1.4558479690497137,1.4558479690497137,0.055673141072120715,0.002478752176666358,0.0,3.231040299986489,2026-08-26T23:22:39.669136+00:00,1806733
yacht,map,1000,1,222,55,277,128,2,2000,-1.4256626462041109,1.4256626462041109,0.05700125004111826,0.002478752176666358,0.0,3.29868190002162,2026-08-26T23:22:42.990141+00:00,1806733
yacht,map,1000,2,222,55,277,128,2,2000,-1.2871741476437626,1.2871741476437626,0.06273515633796989,0.002478752176666358,0.0,3.2723618000745773,2026-08-26T23:22:46.285317+00:00,1806733
yacht,map,2000,0,222,55,277,128,2,4000,-1.3257755038964898,1.3257755038964898,0.06119095888349913,0.002478752176666358,0.0,6.53149670001585,2026-08-26T23:22:52.839383+00:00,1806733
yacht,map,2000,1,222,55,277,128,2,4000,-1.4317134656415524,1.4317134656415524,0.05673751441989452,0.002478752176666358,0.0,6.6028078000526875,2026-08-26T23:22:59.465632+00:00,1806733
yacht,map,2000,2,222,55,277,128,2,4000,-1.3269418433023177,1.3269418433023177,0.06114369400355382,0.002478752176666358,0.0,6.7117879000725225,2026-08-26T23:23:06.200151+00:00,1806733
energy,map,50,0,553,138,691,128,5,250,-0.06571769447898601,0.06571769447898601,0.19520331882118022,0.0923891910713962,0.0,0.38673949998337775,2026-08-26T23:23:06.617892+00:00,1806733
energy,map,50,1,553,138,691,128,5,250,-0.17311961004547166,0.17311961004547166,0.14856912704029837,0.08746955429124283,0.0,0.417648300062865,2026-08-26T23:23:07.058748+00:00,1806733
energy,map,50,2,553,138,691,128,5,250,-0.15686405367306872,0.15686405367306872,0.1476047185097998,0.0917043409787171,0.0,0.4178915999364108,2026-08-26T23:23:07.498992+00:00,1806733
energy,map,100,0,553,138,691,128,5,500,-0.9853739531522775,0.9853739531522775,0.08221653061561618,0.013384613308609433,0.0,0.8367773999925703,2026-08-26T23:23:08.357911+00:00,1806733
energy,map,100,1,553,138,691,128,5,500,-0.9277147643588434,0.9277147643588434,0.0954636887513961,0.010058428472380006,0.0,0.79380119999405,2026-08-26T23:23:09.173438+00:00,1806733
energy,map,100,2,553,138,691,128,5,500,-0.8979340289971581,0.8979340289971581,0.09843225274926772,0.010483784867498536,0.0,0.8321049000369385,2026-08-26T23:23:10.027305+00:00,1806733
energy,map,200,0,553,138,691,128,5,1000,-1.5822242911288995,1.5822242911288995,0.04954468790300207,0.0027800401086596625,0.0,1.6630489999661222,2026-08-26T23:23:11.713388+00:00,1806733
energy,map,200,1,553,138,691,128,5,1000,-1.543128855033712,1.543128855033712,0.05134751896522297,0.003134623215965725,0.0,1.697054099990055,2026-08-26T23:23:13.433513+00:00,1806733
energy,map,200,2,553,138,691,128,5,1000,-1.3909869319348163,1.3909869319348163,0.05946604688173401,0.002852258517757048,0.0,1.64837080007419,2026-08-26T23:23:15.104897+00:00,1806733
energy,map,500,0,553,138,691,128,5,2500,-1.6151635265668833,1.6151635265668833,0.04805924538412206,0.002478752176666359,0.0,4.128614099929109,2026-08-26T23:23:19.255846+00:00,1806733
energy,map,500,1,553,138,691,128,5,2500,-1.538063886756588,1.538063886756588,0.05188364739386757,0.002478752176666359,0.0,4.186559500056319,2026-08-26T23:23:23.464717+00:00,1806733
