dataset,method,epochs,seed,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,train_time_s,timestamp,git_commit
concrete,map,50,0,742,185,927,128,6,300,0.31635382133135165,-0.31635382133135165,0.3319950524837857,0.11180221094426476,0.0,0.5281723999651149,2026-08-27T00:02:08.357734+00:00,1806733
concrete,map,50,1,742,185,927,128,6,300,0.3742485784100213,-0.3742485784100213,0.35156871566013026,0.11746084964225245,0.0,0.5343985999934375,2026-08-27T00:02:08.919644+00:00,1806733
concrete,map,50,2,742,185,927,128,6,300,0.39198885365489505,-0.39198885365489505,0.3571882196385254,0.11553650108057778,0.0,0.500811200006865,2026-08-27T00:02:09.442670+00:00,1806733
concrete,map,100,0,742,185,927,128,6,600,0.3294893661912607,-0.3294893661912607,0.32199802024480184,0.07011971844244293,0.0,1.0362839000299573,2026-08-27T00:02:10.501375+00:00,1806733
concrete,map,100,1,742,185,927,128,6,600,0.294537703816789,-0.294537703816789,0.3138393481647579,0.06942841942859275,0.0,1.0330891000339761,2026-08-27T00:02:11.556560+00:00,1806733
concrete,map,100,2,742,185,927,128,6,600,0.3979338952488839,-0.3979338952488839,0.33634815588677736,0.06987467161387462,0.0,1.0266728000715375,2026-08-27T00:02:12.605808+00:00,1806733
concrete,map,200,0,742,185,927,128,6,1200,0.4937742617491571,-0.4937742617491571,0.3208686399015695,0.04635312137917168,0.0,2.0806806000182405,2026-08-27T00:02:14.710002+00:00,1806733
concrete,map,200,1,742,185,927,128,6,1200,0.5912603838707037,-0.5912603838707037,0.3372630331543045,0.04760216006502898,0.0,2.037771899951622,2026-08-27T00:02:16.772610+00:00,1806733
concrete,map,200,2,742,185,927,128,6,1200,0.5142776698032823,-0.5142776698032823,0.32865063709260295,0.048906582261353755,0.0,2.0910695999627933,2026-08-27T00:02:18.887107+00:00,1806733
concrete,map,500,0,742,185,927,128,6,3000,0.4631866858722892,-0.4631866858722892,0.2803093685384629,0.030454619908515817,0.0,5.127445199992508,2026-08-27T00:02:24.038856+00:00,1806733
concrete,map,500,1,742,185,927,128,6,3000,0.9926947662668801,-0.9926947662668801,0.351283030317267,0.035361788391692406,0.0,5.1437970999395475,2026-08-27T00:02:29.207425+00:00,1806733
concrete,map,500,2,742,185,927,128,6,3000,0.7078707445370964,-0.7078707445370964,0.3142767253143185,0.03306496534343623,0.0,5.169147899956442,2026-08-27T00:02:34.402032+00:00,1806733
concrete,map,1000,0,742,185,927,128,6,6000,0.8644251734441221,-0.8644251734441221,0.2898749605357454,0.02291486314750429,0.0,10.194709799950942,2026-08-27T00:02:44.619382+00:00,1806733
concrete,map,1000,1,742,185,927,128,6,6000,1.1676471743980117,-1.1676471743980117,0.33948300140102794,0.028393219536143415,0.0,10.038190999999642,2026-08-27T00:02:54.684707+00:00,1806733
concrete,map,1000,2,742,185,927,128,6,6000,0.8029766642963999,-0.8029766642963999,0.29975875302929855,0.026412557999170062,0.0,9.913914300035685,2026-08-27T00:03:04.621773+00:00,1806733
concrete,map,2000,0,742,185,927,128,6,12000,1.2293603634538088,-1.2293603634538088,0.29997626470896765,0.019810162631835795,0.0,20.12104699993506,2026-08-27T00:03:24.765741+00:00,1806733
concrete,map,2000,1,742,185,927,128,6,12000,1.6055933389321113,-1.6055933389321113,0.3463569130672551,0.023390363582883555,0.0,20.180547500029206,2026-08-27T00:03:44.969879+00:00,1806733
concrete,map,2000,2,742,185,927,128,6,12000,1.1121334095217923,-1.1121334095217923,0.3076833262666476,0.022690422681385516,0.0,20.146402100101113,2026-08-27T00:04:05.138433+00:00,1806733
concrete,mcd,50,0,742,185,927,128,6,300,0.4087738817424189,-0.4087738817424189,0.34408649257708446,0.169881672234688,0.025383468416785612,0.5030294999014586,2026-08-27T00:04:05.700045+00:00,1806733
concrete,mcd,50,1,742,185,927,128,6,300,0.40135018869034167,-0.40135018869034167,0.3400410445666643,0.17183700052429726,0.02605337000612287,0.5205397999379784,2026-08-27T00:04:06.279387+00:00,1806733
concrete,mcd,50,2,742,185,927,128,6,300,0.42336942666970157,-0.42336942666970157,0.35133810966368634,0.17210142099540668,0.024544530778141876,0.5331201000371948,2026-08-27T00:04:06.870161+00:00,1806733
concrete,mcd,100,0,742,185,927,128,6,600,0.3592928978088605,-0.3592928978088605,0.32897022079934407,0.147465279926502,0.026050754786191933,1.0878200000151992,2026-08-27T00:04:08.015569+00:00,1806733
concrete,mcd,100,1,742,185,927,128,6,600,0.34247192935139426,-0.34247192935139426,0.32256668027874613,0.14485593017177886,0.027553770030481796,1.0435709999874234,2026-08-27T00:04:09.120712+00:00,1806733
concrete,mcd,100,2,742,185,927,128,6,600,0.3876775656735337,-0.3876775656735337,0.3430006627984963,0.15017531957465197,0.02731925208188442,1.0587369999848306,2026-08-27T00:04:10.236967+00:00,1806733
concrete,mcd,200,0,742,185,927,128,6,1200,0.3144312753071464,-0.3144312753071464,0.31546714913668694,0.12868883694639344,0.029031925727890248,2.1571391999023035,2026-08-27T00:04:12.449604+00:00,1806733
concrete,mcd,200,1,742,185,927,128,6,1200,0.30092494698051014,-0.30092494698051014,0.3096859447006776,0.13145568425485085,0.02779741589986233,2.1075145999202505,2026-08-27T00:04:14.616793+00:00,1806733
concrete,mcd,200,2,742,185,927,128,6,1200,0.31590868391412175,-0.31590868391412175,0.31501655398041,0.1295952247522325,0.03123100563077877,2.1592485000146553,2026-08-27T00:04:16.829644+00:00,1806733
concrete,mcd,500,0,742,185,927,128,6,3000,0.2739898304500479,-0.2739898304500479,0.3020119706426428,0.11498680864819717,0.030725765989673175,5.359928400022909,2026-08-27T00:04:22.249539+00:00,1806733
concrete,mcd,500,1,742,185,927,128,6,3000,0.2969219567417802,-0.2969219567417802,0.31227269353941245,0.12186175689035979,0.02885884040211653,5.365415800013579,2026-08-27T00:04:27.681584+00:00,1806733
concrete,mcd,500,2,742,185,927,128,6,3000,0.2931020051635701,-0.2931020051635701,0.3063689814859061,0.12402242822935308,0.03077948010222062,5.220178300049156,2026-08-27T00:04:32.958293+00:00,1806733
concrete,mcd,1000,0,742,185,927,128,6,6000,0.24718061111649542,-0.24718061111649542,0.28884167344953815,0.11404234480788135,0.032526814159579115,10.598428900004365,2026-08-27T00:04:43.625161+00:00,1806733
concrete,mcd,1000,1,742,185,927,128,6,6000,0.2457225951890288,-0.2457225951890288,0.2906711968048112,0.11497173281549009,0.030640722479711353,10.642962999991141,2026-08-27T00:04:54.329214+00:00,1806733
concrete,mcd,1000,2,742,185,927,128,6,6000,0.2799961339320949,-0.2799961339320949,0.30275382094003833,0.11961478643738002,0.032138984617327816,10.795164400013164,2026-08-27T00:05:05.182790+00:00,1806733
concrete,mcd,2000,0,742,185,927,128,6,12000,0.25664939790758173,-0.25664939790758173,0.2946997525965924,0.11189046935716006,0.033549849933788935,21.466442300006747,2026-08-27T00:05:26.704101+00:00,1806733
concrete,mcd,2000,1,742,185,927,128,6,12000,0.24853399586817485,-0.24853399586817485,0.2950642246629034,0.10936218323472066,0.032659759246580676,21.430179900024086,2026-08-27T00:05:48.200482+00:00,1806733
concrete,mcd,2000,2,742,185,927,128,6,12000,0.2696167360201699,-0.2696167360201699,0.299685414227735,0.11528698426636438,0.03360703027784478,21.659505299990997,2026-08-27T00:06:09.923597+00:00,1806733
concrete,bbb,50,0,742,185,927,128,6,300,0.4176156934856468,-0.4176156934856468,0.3437648564792428,0.174488249451667,0.03604769427902605,11.378800000064075,2026-08-27T00:06:21.362184+00:00,1806733
concrete,bbb,50,1,742,185,927,128,6,300,0.41851457707747153,-0.41851457707747153,0.3357233993756669,0.17919021586739575,0.04322494569688595,11.399228399968706,2026-08-27T00:06:32.820693+00:00,1806733
concrete,bbb,50,2,742,185,927,128,6,300,0.42272813582478447,-0.42272813582478447,0.35117525983822384,0.17199778657949907,0.03276269803369682,11.273802899988368,2026-08-27T00:06:44.144534+00:00,1806733
concrete,bbb,100,0,742,185,927,128,6,600,0.34636349665350336,-0.34636349665350336,0.3237754590035548,0.14024962987915227,0.0379470772406824,22.552907999954186,2026-08-27T00:07:06.751452+00:00,1806733
concrete,bbb,100,1,742,185,927,128,6,600,0.3380681788771916,-0.3380681788771916,0.30582615592838236,0.14395962748636207,0.04934095194403178,22.51733729999978,2026-08-27T00:07:29.325557+00:00,1806733
concrete,bbb,100,2,742,185,927,128,6,600,0.3528237312926165,-0.3528237312926165,0.32768238832619856,0.14512448442798448,0.0328745001735679,22.50808430009056,2026-08-27T00:07:51.891987+00:00,1806733
concrete,bbb,200,0,742,185,927,128,6,1200,0.2810541937426617,-0.2810541937426617,0.3059108563888128,0.11565649616253638,0.035331166124769456,45.15507079998497,2026-08-27T00:08:37.097981+00:00,1806733
concrete,bbb,200,1,742,185,927,128,6,1200,0.26218252428030464,-0.26218252428030464,0.2983431886357928,0.11111629171938006,0.037107230334247183,45.34506710001733,2026-08-27T00:09:22.501915+00:00,1806733
concrete,bbb,200,2,742,185,927,128,6,1200,0.2909680150749777,-0.2909680150749777,0.3121121155076386,0.11521078524075133,0.034623267452804446,46.28870149992872,2026-08-27T00:10:08.842211+00:00,1806733
concrete,bbb,500,0,742,185,927,128,6,3000,0.25645773254406257,-0.25645773254406257,0.3127478984314357,0.0769845036875401,0.024091344771792197,113.43113319994882,2026-08-27T00:12:02.327823+00:00,1806733
concrete,bbb,500,1,742,185,927,128,6,3000,0.23068009044668167,-0.23068009044668167,0.3039300257198416,0.08052093228122834,0.027759926970021616,112.89058130001649,2026-08-27T00:13:55.276892+00:00,1806733
concrete,bbb,500,2,742,185,927,128,6,3000,0.30999047881082226,-0.30999047881082226,0.3316110035436002,0.08187156981106614,0.02347931720844073,114.3077524000546,2026-08-27T00:15:49.640940+00:00,1806733
concrete,bbb,1000,0,742,185,927,128,6,6000,0.3068252413117339,-0.3068252413117339,0.32168875574462297,0.06184860129732065,0.014928218649062705,225.71737259998918,2026-08-27T00:19:35.413053+00:00,1806733
concrete,bbb,1000,1,742,185,927,128,6,6000,0.31392548779447654,-0.31392548779447654,0.3268975380386029,0.06814980213679057,0.018103225373568864,227.49989379988983,2026-08-27T00:23:22.971122+00:00,1806733
concrete,bbb,1000,2,742,185,927,128,6,6000,0.235364552970949,-0.235364552970949,0.3052147420125228,0.06420107175432155,0.0158333187630334,227.0257945000194,2026-08-27T00:27:10.053776+00:00,1806733
concrete,bbb,2000,0,742,185,927,128,6,12000,0.3014959464813547,-0.3014959464813547,0.3166993166841239,0.05470674852370948,0.013452949547272178,450.38952560001053,2026-08-27T00:34:40.494444+00:00,1806733
concrete,bbb,2000,1,742,185,927,128,6,12000,0.3109393205297304,-0.3109393205297304,0.3167107274776415,0.054399751738174344,0.015198498810541163,451.0362316999817,2026-08-27T00:42:11.587544+00:00,1806733
concrete,bbb,2000,2,742,185,927,128,6,12000,0.2652119704359866,-0.2652119704359866,0.30365599417801403,0.05282497957349897,0.010226656837906205,451.3080183999846,2026-08-27T00:49:42.950777+00:00,1806733
