dataset,method,seed,epoch,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,elbo_samples,run_aborted,max_epoch_measured,run_train_time_s,timestamp,git_commit,on_grid
energy,map,0,5,0.8578591302042042,-0.8578591302042042,0.3180809316919474,0.7769492167548454,0.0,553,138,691,128,5,25,,False,2000,9.76525459997356,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,0,10,0.72716276719366,-0.72716276719366,0.2781610422088153,0.598842445634283,0.0,553,138,691,128,5,50,,False,2000,9.76525459997356,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,0,20,0.4978369497176114,-0.4978369497176114,0.25010001726645,0.3624894254838613,0.0,553,138,691,128,5,100,,False,2000,9.76525459997356,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,0,50,-0.065717694478986,0.065717694478986,0.1952033188211802,0.0923891910713962,0.0,553,138,691,128,5,250,,False,2000,9.76525459997356,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,0,100,-0.9853739531522776,0.9853739531522776,0.0822165306156161,0.0133846133086094,0.0,553,138,691,128,5,500,,False,2000,9.76525459997356,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,0,200,-1.5822242911288995,1.5822242911288995,0.049544687903002,0.0027800401086596,0.0,553,138,691,128,5,1000,,False,2000,9.76525459997356,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,0,500,-1.607597167378184,1.607597167378184,0.0483065536304336,0.002072792270509,0.0,553,138,691,128,5,2500,,False,2000,9.76525459997356,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,0,1000,-1.640290605642569,1.640290605642569,0.0466773861814745,0.001890900140188,0.0,553,138,691,128,5,5000,,False,2000,9.76525459997356,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,0,2000,-1.5997349221793258,1.5997349221793258,0.0458241453752853,0.0013156045365775,0.0,553,138,691,128,5,10000,,False,2000,9.76525459997356,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,1,5,0.8839430124085677,-0.8839430124085677,0.3243842644238414,0.8201284560294352,0.0,553,138,691,128,5,25,,False,2000,9.736855399911292,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,1,10,0.7564315442914589,-0.7564315442914589,0.2915226695606114,0.6315483184861858,0.0,553,138,691,128,5,50,,False,2000,9.736855399911292,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,1,20,0.5141043892320202,-0.5141043892320202,0.2444642574160923,0.3802910587200013,0.0,553,138,691,128,5,100,,False,2000,9.736855399911292,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,1,50,-0.1731196100454716,0.1731196100454716,0.1485691270402983,0.0874695542912428,0.0,553,138,691,128,5,250,,False,2000,9.736855399911292,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,1,100,-0.9277147643588434,0.9277147643588434,0.0954636887513961,0.01005842847238,0.0,553,138,691,128,5,500,,False,2000,9.736855399911292,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,1,200,-1.543128855033712,1.543128855033712,0.0513475189652229,0.0031346232159657,0.0,553,138,691,128,5,1000,,False,2000,9.736855399911292,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,1,500,-1.354289518318636,1.354289518318636,0.0592258393660574,0.0022857064554285,0.0,553,138,691,128,5,2500,,False,2000,9.736855399911292,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,1,1000,-1.669698239922302,1.669698239922302,0.0448980579450022,0.0015964472597102,0.0,553,138,691,128,5,5000,,False,2000,9.736855399911292,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,1,2000,-1.6532926502882157,1.6532926502882157,0.0439658433737169,0.0012646140691856,0.0,553,138,691,128,5,10000,,False,2000,9.736855399911292,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,2,5,0.9144301091468714,-0.9144301091468714,0.3561670703594786,0.854265929253735,0.0,553,138,691,128,5,25,,False,2000,9.75347979995422,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,2,10,0.7702232547803637,-0.7702232547803637,0.283671701239289,0.6571200161126671,0.0,553,138,691,128,5,50,,False,2000,9.75347979995422,2026-08-27T09:49:57.132935+00:00,1806733,True
energy,map,2,20,0.532127147839072,-0.532127147839072,0.2515161265551286,0.3926980033145909,0.0,553,138,691,128,5,100,,False,2000,9.75347979995422,2026-08-27T09:49:57.132935+00:00,1806733,True
