dataset,method,n_train_full,steps_per_epoch_full,chosen_epochs,total_steps_full,best_epochs,best_val_nll,chosen_val_nll,excess_nats,n_seeds,run_aborted,max_epoch_measured,chosen_at_measured_edge
yacht,map,277,3,500,1500,500,-1.0046538271459957,-1.0046538271459957,0.0,3,False,2000,False
yacht,mcd,277,3,2000,6000,2000,-0.3059913924198341,-0.3059913924198341,0.0,3,False,2000,True
yacht,bbb,277,3,2000,6000,2000,-1.3112143851579905,-1.3112143851579905,0.0,1,False,2000,True
energy,map,691,6,1000,6000,1000,-1.6121830177994478,-1.6121830177994478,0.0,3,False,2000,False
energy,mcd,691,6,1000,6000,1000,-0.5222698281711939,-0.5222698281711939,0.0,3,False,2000,False
energy,bbb,691,6,1000,6000,1000,-1.5745907895595093,-1.5745907895595093,0.0,1,False,2000,False
concrete,map,927,8,100,800,100,0.3406536550856445,0.3406536550856445,0.0,3,False,2000,False
concrete,mcd,927,8,1000,8000,1000,0.2576331134125397,0.2576331134125397,0.0,3,False,2000,False
concrete,bbb,927,8,200,1600,200,0.2629592214376994,0.2629592214376994,0.0,1,False,2000,False
wine_quality_red,map,1439,12,5,60,20,1.2119275986849731,1.2266068726532058,0.014679273968232653,3,False,2000,False
wine_quality_red,mcd,1439,12,10,120,100,1.1978579580996336,1.2121707344814796,0.014312776381846026,3,False,2000,False
wine_quality_red,bbb,1439,12,20,240,50,1.197653399404791,1.2051018846902113,0.007448485285420192,1,False,2000,False
kin8nm,map,7373,58,200,11600,2000,0.14412780511971038,0.15633812206876752,0.012210316949057137,3,False,2000,False
kin8nm,mcd,7373,58,500,29000,2000,0.43085165240604395,0.45005426574852164,0.019202613342477692,3,False,2000,False
kin8nm,bbb,7373,58,500,29000,500,0.2474739421875211,0.2474739421875211,0.0,1,True,500,True
power_plant,map,8611,68,50,3400,1000,-0.03927849431453808,-0.021536242575493744,0.017742251739044337,3,False,2000,False
power_plant,mcd,8611,68,10,680,100,-0.002757852425506709,0.013575200105608766,0.016333052531115475,3,False,2000,False
power_plant,bbb,8611,68,50,3400,200,-0.005595649577363902,0.00944847404947613,0.01504412362684003,1,True,500,False
